step,loss,rel_l2
0,4.456883e-01,8.213318e-01
1000,2.327759e-02,1.867102e-01
2000,3.305303e-03,7.162580e-02
3000,1.025663e-03,1.291213e-01
4000,1.582293e-02,1.290787e-01
5000,3.553668e-04,6.268235e-02
6000,3.414918e-04,5.918370e-02
7000,2.518341e-02,3.603957e-01
8000,6.401066e-04,1.323154e-01
9000,6.738561e-04,3.344044e-02
10000,2.002494e-03,4.903744e-02
11000,1.305001e-04,4.575987e-02
12000,5.027633e-03,2.141968e-02
13000,2.745833e-04,6.336028e-02
14000,6.201979e-05,2.416756e-02
15000,2.331729e-03,5.877405e-02
16000,6.501836e-05,2.313078e-02
17000,4.395489e-05,1.616612e-02
18000,1.951603e-04,3.223179e-02
19000,1.238066e-04,1.770618e-02
20000,4.145896e-05,1.170520e-02
