axis,d,width,depth,activation,seed,params,rel_l2,stderr,rel_fit_sampled,final_mse,train_seconds
base,8,128,4,tanh,0,50945,6.710386e-01,2.188536e-03,6.468060e-01,1.322045e-03,14.91
base,8,128,4,tanh,1,50945,6.701784e-01,2.221086e-03,6.559998e-01,1.326455e-03,13.82
base,8,128,4,tanh,2,50945,7.021361e-01,2.365985e-03,6.943854e-01,1.522600e-03,10.00
width,8,32,4,tanh,0,3521,8.161980e-01,2.758039e-03,8.126571e-01,2.086954e-03,3.24
width,8,32,4,tanh,1,3521,7.217007e-01,2.287932e-03,7.051859e-01,1.532824e-03,3.08
width,8,32,4,tanh,2,3521,7.795233e-01,2.288862e-03,8.261050e-01,2.155040e-03,3.08
width,8,512,4,tanh,0,793601,9.071548e-01,2.870304e-03,9.045365e-01,2.585535e-03,80.51
width,8,512,4,tanh,1,793601,8.990927e-01,2.858157e-03,8.965023e-01,2.477354e-03,93.89
width,8,512,4,tanh,2,793601,8.924088e-01,2.854832e-03,8.899137e-01,2.500809e-03,73.66
depth,8,128,2,tanh,0,17921,7.297872e-01,2.559715e-03,7.207869e-01,1.641769e-03,4.82
depth,8,128,2,tanh,1,17921,7.337701e-01,2.605004e-03,7.307801e-01,1.646109e-03,4.79
depth,8,128,2,tanh,2,17921,7.225743e-01,2.510243e-03,7.216421e-01,1.644479e-03,4.75
depth,8,128,8,tanh,0,116993,9.243602e-01,1.517490e-03,8.123146e-01,2.085196e-03,23.72
depth,8,128,8,tanh,1,116993,6.608582e-01,2.012487e-03,6.286233e-01,1.218053e-03,26.62
depth,8,128,8,tanh,2,116993,6.097899e-01,1.777038e-03,5.674062e-01,1.016653e-03,23.61
activation,8,128,4,sin,0,50945,1.920446e-01,4.554291e-04,6.446622e-02,1.313296e-05,12.22
activation,8,128,4,sin,1,50945,1.793773e-01,3.717231e-04,6.543911e-02,1.319957e-05,13.51
activation,8,128,4,sin,2,50945,2.004848e-01,4.254483e-04,6.152809e-02,1.195451e-05,12.46
base,16,128,4,tanh,0,51969,1.144431e+00,1.070421e-02,1.144648e+00,1.382322e-05,10.45
base,16,128,4,tanh,1,51969,1.140066e+00,1.063065e-02,1.039169e+00,3.405266e-05,9.94
base,16,128,4,tanh,2,51969,1.139327e+00,1.083455e-02,1.110382e+00,1.709480e-05,10.45
width,16,32,4,tanh,0,3777,1.576782e+00,7.816959e-03,1.564893e+00,2.583655e-05,3.08
width,16,32,4,tanh,1,3777,1.145869e+00,1.067264e-02,1.049944e+00,3.476250e-05,3.21
width,16,32,4,tanh,2,3777,1.212686e+00,1.014045e-02,1.164707e+00,1.880845e-05,3.07
width,16,512,4,tanh,0,797697,9.772077e-01,1.273755e-02,9.810554e-01,1.015435e-05,74.20
width,16,512,4,tanh,1,797697,1.003308e+00,1.254143e-02,1.004753e+00,3.183445e-05,80.63
width,16,512,4,tanh,2,797697,9.922125e-01,1.265450e-02,1.001026e+00,1.389345e-05,74.69
depth,16,128,2,tanh,0,18945,1.371302e+00,9.009055e-03,1.372951e+00,1.988728e-05,4.89
depth,16,128,2,tanh,1,18945,1.443631e+00,8.512321e-03,1.169607e+00,4.313789e-05,4.84
depth,16,128,2,tanh,2,18945,1.280668e+00,9.649148e-03,1.218128e+00,2.057335e-05,4.85
depth,16,128,8,tanh,0,118017,1.026546e+00,1.193221e-02,1.020183e+00,1.098047e-05,20.88
depth,16,128,8,tanh,1,118017,1.064681e+00,1.169651e-02,1.019681e+00,3.278743e-05,20.52
depth,16,128,8,tanh,2,118017,1.051469e+00,1.182081e-02,1.040405e+00,1.500805e-05,20.31
activation,16,128,4,sin,0,51969,1.853997e+00,5.033149e-03,3.318118e-01,1.161579e-06,10.56
activation,16,128,4,sin,1,51969,9.600459e-01,8.071196e-03,6.184674e-02,1.206181e-07,10.66
activation,16,128,4,sin,2,51969,8.723441e-01,9.284769e-03,6.735520e-02,6.290160e-08,10.62
base,1,128,4,tanh,0,50049,1.490054e-02,2.050500e-05,1.483306e-02,7.636425e-05,9.80
base,1,128,4,tanh,1,50049,1.540500e-02,2.015178e-05,1.530265e-02,8.356309e-05,9.83
base,1,128,4,tanh,2,50049,1.364931e-02,1.932732e-05,1.380545e-02,6.739559e-05,9.75
activation,1,128,4,sin,0,50049,1.985180e-03,3.215096e-06,1.925803e-03,1.287218e-06,10.47
activation,1,128,4,sin,1,50049,2.024770e-03,4.793327e-06,1.939359e-03,1.342139e-06,10.83
activation,1,128,4,sin,2,50049,2.106293e-03,3.115814e-06,2.043297e-03,1.476364e-06,10.86
base,2,128,4,tanh,0,50177,1.934678e-02,3.683508e-05,1.789217e-02,5.952660e-05,9.76
base,2,128,4,tanh,1,50177,1.911247e-02,2.835206e-05,1.852492e-02,6.279936e-05,9.85
base,2,128,4,tanh,2,50177,2.314427e-02,2.247931e-05,2.210037e-02,8.843735e-05,9.79
activation,2,128,4,sin,0,50177,4.894008e-03,8.521824e-06,4.371280e-03,3.553056e-06,10.40
activation,2,128,4,sin,1,50177,9.635360e-03,6.776019e-06,1.155381e-02,2.442828e-05,10.73
activation,2,128,4,sin,2,50177,5.539281e-03,6.593776e-06,4.587951e-03,3.811310e-06,11.15
