target,d,nx,nt,unknowns,rel_l2,seconds,node_steps,bytes_counted,bytes_traced,arrays,fitted_order
1e-01,1,4,2,3,2.942621e-02,0.000148,6.000000e+00,120,3064,5,2.0650
1e-01,2,4,2,9,3.063893e-02,0.000318,1.800000e+01,360,5088,5,2.0056
1e-01,3,4,2,27,2.694215e-02,0.000554,5.400000e+01,1080,7152,5,1.9962
1e-01,4,4,2,81,2.416690e-02,0.000758,1.620000e+02,3240,7520,5,1.9939
1e-01,5,4,2,243,2.221544e-02,0.000983,4.860000e+02,9720,16672,5,1.9936
1e-01,6,4,2,729,2.080985e-02,0.001275,1.458000e+03,29160,43968,5,1.9905
1e-01,8,4,2,6561,1.896245e-02,0.002440,1.312200e+04,262440,371904,5,1.9870
1e-01,10,4,2,59049,1.782570e-02,0.010910,1.180980e+05,2361960,2837496,5,1.9866
1e-01,12,4,2,531441,1.706643e-02,0.155884,1.062882e+06,21257640,25512448,5,nan
1e-01,14,4,2,4782969,1.652790e-02,1.274261,9.565938e+06,191318760,229586048,5,nan
1e-01,16,4,2,43046721,1.612822e-02,30.645457,8.609344e+07,1721868840,2066246400,5,nan
1e-02,1,8,4,7,6.665351e-03,0.000424,2.800000e+01,280,2584,5,2.0650
1e-02,2,8,4,49,7.611495e-03,0.000928,1.960000e+02,1960,5856,5,2.0056
1e-02,3,8,4,343,6.790584e-03,0.001673,1.372000e+03,13720,23712,5,1.9962
1e-02,4,8,4,2401,6.111951e-03,0.002568,9.604000e+03,96040,148448,5,1.9939
1e-02,5,6,3,3125,9.964979e-03,0.002173,9.375000e+03,125000,188080,5,1.9936
1e-02,6,6,3,15625,9.329116e-03,0.004844,4.687500e+04,625000,824768,5,1.9905
1e-02,8,6,3,390625,8.486914e-03,0.074712,1.171875e+06,15625000,18752784,5,1.9870
1e-02,10,6,3,9765625,7.965660e-03,3.048725,2.929688e+07,390625000,468753160,5,1.9866
1e-03,1,22,11,21,8.489464e-04,0.001733,2.310000e+02,840,3256,5,2.0650
1e-03,2,24,12,529,8.416124e-04,0.006221,6.348000e+03,21160,36320,5,2.0056
1e-03,3,22,11,9261,8.984425e-04,0.012155,1.018710e+05,370440,569808,5,1.9962
1e-03,4,20,10,130321,9.798061e-04,0.050420,1.303210e+06,5212840,6257376,5,1.9939
1e-03,5,20,10,2476099,9.012403e-04,1.216577,2.476099e+07,99043960,118854752,5,1.9936
1e-03,6,20,10,47045881,8.435383e-04,33.184810,4.704588e+08,1881835240,2258204320,5,1.9905
