target,d,n_seeds,n_reached,seconds,seconds_min,seconds_max,steps,rel_l2,best_rel_l2,shortfall
1e-01,1,3,3,7.0601,6.1632,7.5439,250,5.000687e-02,8.374709e-04,0.008
1e-01,2,3,3,12.0846,11.7182,12.3040,250,7.212898e-02,4.017335e-03,0.040
1e-01,4,3,3,146.0693,113.4522,193.4338,1833,9.451912e-02,3.950164e-02,0.395
1e-01,8,3,0,,,,,,7.064137e-01,7.064
1e-01,16,3,0,,,,,,1.039641e+00,10.396
1e-02,1,3,3,62.3046,44.4242,81.5519,1917,8.938192e-03,8.374709e-04,0.084
1e-02,2,3,3,88.9433,82.1160,93.6973,1750,9.547254e-03,4.017335e-03,0.402
1e-02,4,3,0,,,,,,3.950164e-02,3.950
1e-02,8,3,0,,,,,,7.064137e-01,70.641
1e-02,16,3,0,,,,,,1.039641e+00,103.964
1e-03,1,3,2,135.2371,113.8170,156.6573,4750,7.769351e-04,8.374709e-04,0.837
1e-03,2,3,0,,,,,,4.017335e-03,4.017
1e-03,4,3,0,,,,,,3.950164e-02,39.502
1e-03,8,3,0,,,,,,7.064137e-01,706.414
1e-03,16,3,0,,,,,,1.039641e+00,1039.641
