arm,d,seed,n_interior,params,rel_l2,stderr,rel_l2_final,stderr_final,best_step,best_loss,final_loss,loss_r,loss_ic,loss_bc,rel_ic_error,rel_ic_sampled,ic_energy_sampled,rel_residual,ess_ic,ess_frac,exact_rms,train_seconds,wall_seconds,ms_per_step
uniform,8,0,4000,50945,7.539006e-01,2.753093e-03,7.539006e-01,2.753093e-03,2001,1.755933e-03,1.755933e-03,2.359483e-05,1.456856e-03,2.760320e-04,0.546227,0.679881,3.151741e-03,0.166547,19.072,4.767980e-02,5.492820e-02,292.93,297.87,146.393
uniform,8,1,4000,50945,7.278589e-01,2.425422e-03,7.278589e-01,2.425422e-03,2001,2.518946e-03,2.518946e-03,3.081878e-05,2.101582e-03,3.875903e-04,0.656052,0.660425,4.818365e-03,0.190343,17.649,4.412271e-02,5.492820e-02,280.43,69.23,140.143
tilted,8,0,4000,50945,1.447632e+00,1.307263e-03,1.447632e+00,1.307263e-03,2001,3.228484e-03,3.228484e-03,5.676328e-04,2.067705e-03,5.968501e-04,0.650743,0.136628,1.107665e-01,0.816888,127.548,3.188708e-01,5.492820e-02,271.20,275.06,135.533
tilted,8,1,4000,50945,1.400209e+00,1.506398e-03,1.400209e+00,1.506398e-03,2001,3.057973e-03,3.057973e-03,5.134411e-04,2.181116e-03,3.661789e-04,0.668351,0.134428,1.206971e-01,0.776916,136.472,3.411806e-01,5.492820e-02,272.14,98.04,136.003
uniform,16,0,4000,51969,1.164434e+00,1.063186e-02,1.164434e+00,1.063186e-02,2001,2.061451e-05,2.061451e-05,1.644124e-06,1.466858e-05,4.309379e-06,0.876958,1.044599,1.344277e-05,0.724386,3.044,7.610863e-03,3.456131e-03,494.66,49.69,247.207
uniform,16,1,4000,51969,1.142587e+00,1.065091e-02,1.142587e+00,1.065091e-02,2001,2.224983e-05,2.224983e-05,2.319674e-06,1.630757e-05,3.629702e-06,0.924655,0.974559,1.717012e-05,0.860432,4.554,1.138522e-02,3.456131e-03,529.28,40.75,264.508
tilted,16,0,4000,51969,1.349607e+01,1.082182e-02,1.349607e+01,1.082182e-02,2001,2.932684e-03,2.932684e-03,5.017075e-05,2.572750e-03,3.116781e-04,11.614051,0.474922,1.140652e-02,4.001550,57.818,1.445447e-01,3.456131e-03,556.80,77.06,278.260
tilted,16,1,4000,51969,1.445472e+01,1.139659e-02,1.445472e+01,1.139659e-02,2001,3.218855e-03,3.218855e-03,6.549322e-05,2.808283e-03,3.474554e-04,12.134038,0.447066,1.405068e-02,4.571947,61.470,1.536755e-01,3.456131e-03,527.86,73.82,263.796
rad,8,0,4000,50945,7.503176e-01,2.747339e-03,7.503176e-01,2.747339e-03,2001,1.752799e-03,1.752799e-03,2.131443e-05,1.448723e-03,2.832709e-04,0.544700,0.677981,3.151741e-03,0.158295,19.072,4.767980e-02,5.492820e-02,272.34,275.95,136.102
rad,8,1,4000,50945,7.252030e-01,2.421226e-03,7.252030e-01,2.421226e-03,2001,2.505876e-03,2.505876e-03,2.932154e-05,2.090407e-03,3.872050e-04,0.654305,0.658667,4.818365e-03,0.185662,17.649,4.412271e-02,5.492820e-02,269.25,96.81,134.555
uniform,4,0,4000,50433,1.061575e-01,1.340184e-04,1.292682e-01,1.309744e-04,1961,1.354433e-03,1.771287e-03,5.307666e-04,7.645254e-04,6.148821e-04,0.098924,0.104057,7.060757e-02,0.186737,62.488,1.562206e-01,2.171680e-01,156.21,159.48,78.065
uniform,4,1,4000,50433,7.911663e-02,9.098497e-05,7.911663e-02,9.098497e-05,2001,1.188051e-03,1.188051e-03,5.230328e-04,3.444661e-04,3.223402e-04,0.066402,0.067019,7.669167e-02,0.185372,53.938,1.348458e-01,2.171680e-01,155.60,158.81,77.762
tilted,4,0,4000,50433,1.022775e-01,1.137227e-04,1.022775e-01,1.137227e-04,2001,6.571981e-04,6.571981e-04,2.344000e-04,1.615845e-04,2.620626e-04,0.045478,0.021320,3.554966e-01,0.124096,196.343,4.908567e-01,2.171680e-01,166.76,71.41,83.338
tilted,4,1,4000,50433,8.820759e-02,8.378789e-05,8.820759e-02,8.378789e-05,2001,6.059726e-04,6.059726e-04,2.181019e-04,1.481831e-04,2.404280e-04,0.043552,0.020325,3.586928e-01,0.119704,190.998,4.774944e-01,2.171680e-01,171.86,175.56,85.885
uniform,8,0,8000,50945,7.355293e-01,2.591788e-03,7.355293e-01,2.591788e-03,2001,2.676239e-03,2.676239e-03,3.526160e-05,2.249550e-03,3.926401e-04,0.678755,0.685075,4.793137e-03,0.203601,18.112,4.527913e-02,5.492820e-02,781.80,479.32,390.707
uniform,8,1,8000,50945,7.139363e-01,2.456967e-03,7.139363e-01,2.456967e-03,2001,2.373113e-03,2.373113e-03,3.163304e-05,1.922233e-03,4.198452e-04,0.627434,0.648459,4.571317e-03,0.192841,19.682,4.920425e-02,5.492820e-02,751.50,149.91,375.561
uniform,8,0,2000,50945,7.190703e-01,2.464882e-03,7.845323e-01,2.543601e-03,1968,2.492431e-03,2.889558e-03,4.225534e-05,2.358470e-03,7.015052e-04,0.694993,0.708966,4.692235e-03,0.222879,14.269,3.567336e-02,5.492820e-02,133.11,136.81,66.522
uniform,8,1,2000,50945,7.460959e-01,2.684047e-03,7.460959e-01,2.684047e-03,2001,2.066841e-03,2.066841e-03,2.472706e-05,1.755757e-03,2.869302e-04,0.599649,0.697933,3.604433e-03,0.170496,17.503,4.375858e-02,5.492820e-02,131.56,135.22,65.748
uniform,8,0,500,50945,7.137404e-01,2.468443e-03,7.137404e-01,2.468443e-03,2001,2.891264e-03,2.891264e-03,3.319899e-05,2.406016e-03,4.530302e-04,0.701963,0.676364,5.259423e-03,0.197557,16.318,4.079584e-02,5.492820e-02,49.00,52.59,24.490
uniform,8,1,500,50945,7.546973e-01,2.751782e-03,7.546973e-01,2.751782e-03,2001,1.571730e-03,1.571730e-03,1.549345e-05,1.315400e-03,2.412099e-04,0.519032,0.673697,2.898198e-03,0.134959,22.333,5.583193e-02,5.492820e-02,49.27,22.03,24.622
uniform,8,2,4000,50945,7.323536e-01,2.586691e-03,7.323536e-01,2.586691e-03,2001,2.841634e-03,2.841634e-03,2.987537e-05,2.370263e-03,4.422038e-04,0.696728,0.687516,5.014533e-03,0.187407,14.224,3.555919e-02,5.492820e-02,253.94,257.74,126.909
uniform,8,3,4000,50945,7.619697e-01,2.796431e-03,7.619697e-01,2.796431e-03,2001,2.030955e-03,2.030955e-03,1.400242e-05,1.797464e-03,2.198761e-04,0.606729,0.760599,3.107053e-03,0.128301,9.026,2.256435e-02,5.492820e-02,268.62,27.54,134.245
uniform,8,4,4000,50945,7.653261e-01,2.791419e-03,7.653261e-01,2.791419e-03,2001,1.700152e-03,1.700152e-03,1.496753e-05,1.427915e-03,2.575776e-04,0.540774,0.691982,2.982036e-03,0.132649,17.726,4.431543e-02,5.492820e-02,265.25,269.00,132.560
uniform,4,2,4000,50433,7.258500e-02,7.734141e-05,7.258500e-02,7.734141e-05,2001,9.723814e-04,9.723814e-04,3.847177e-04,2.945368e-04,2.943509e-04,0.061401,0.056765,9.140610e-02,0.158983,63.866,1.596652e-01,2.171680e-01,155.93,159.51,77.928
uniform,4,3,4000,50433,7.696676e-02,7.833064e-05,7.696676e-02,7.833064e-05,2001,9.349657e-04,9.349657e-04,3.404038e-04,3.072262e-04,2.885356e-04,0.062710,0.062292,7.917543e-02,0.149546,59.962,1.499048e-01,2.171680e-01,155.44,103.34,77.681
uniform,4,4,4000,50433,1.053731e-01,1.162580e-04,1.053731e-01,1.162580e-04,2001,1.476207e-03,1.476207e-03,5.257078e-04,5.653944e-04,3.870284e-04,0.085071,0.087547,7.376869e-02,0.185845,74.054,1.851353e-01,2.171680e-01,154.02,157.68,76.971
uniform,2,0,4000,50177,9.259693e-03,1.464214e-05,9.064116e-03,1.387818e-05,1889,2.029693e-04,2.065707e-04,7.866518e-05,5.240919e-05,7.620940e-05,0.012950,0.013153,3.029315e-01,0.032609,127.793,3.194824e-01,4.267050e-01,103.78,107.26,51.865
