arm,d,seed,n_points,steps,rel_l2,stderr,final_mse,rel_fit_error,rel_fit_sampled,sampled_rms,exact_rms,train_seconds
uniform,1,0,4000,2000,1.490054e-02,2.050500e-05,7.636425e-05,1.479554e-02,1.483306e-02,5.891343e-01,5.906283e-01,24.71
uniform,1,1,4000,2000,1.540500e-02,2.015178e-05,8.356309e-05,1.547722e-02,1.530265e-02,5.973660e-01,5.906283e-01,25.14
uniform,1,2,4000,2000,1.364931e-02,1.932732e-05,6.739559e-05,1.389957e-02,1.380545e-02,5.946552e-01,5.906283e-01,25.44
tilted,1,0,4000,2000,3.588840e-02,8.525842e-05,4.642926e-05,1.153670e-02,9.595863e-03,7.100875e-01,5.906283e-01,25.99
tilted,1,1,4000,2000,5.454036e-02,1.188519e-04,1.022393e-04,1.711964e-02,1.408811e-02,7.177218e-01,5.906283e-01,25.16
tilted,1,2,4000,2000,6.470317e-02,1.619783e-04,7.480659e-05,1.464386e-02,1.201238e-02,7.200140e-01,5.906283e-01,25.21
uniform,2,0,4000,2000,1.934678e-02,3.683508e-05,5.952660e-05,1.808122e-02,1.789217e-02,4.312136e-01,4.267050e-01,24.95
uniform,2,1,4000,2000,1.911247e-02,2.835206e-05,6.279936e-05,1.857163e-02,1.852492e-02,4.277808e-01,4.267050e-01,25.05
uniform,2,2,4000,2000,2.314427e-02,2.247931e-05,8.843735e-05,2.203891e-02,2.210037e-02,4.255184e-01,4.267050e-01,25.65
tilted,2,0,4000,2000,7.401155e-02,1.360497e-04,6.744260e-05,1.924595e-02,1.310292e-02,6.267568e-01,4.267050e-01,24.77
tilted,2,1,4000,2000,6.919217e-02,1.137446e-04,7.424332e-05,2.019301e-02,1.367740e-02,6.299778e-01,4.267050e-01,24.89
tilted,2,2,4000,2000,9.062405e-02,1.320429e-04,1.021229e-04,2.368285e-02,1.609277e-02,6.279581e-01,4.267050e-01,25.19
uniform,4,0,4000,2000,9.650866e-02,1.076784e-04,3.869051e-04,9.057460e-02,8.866909e-02,2.218349e-01,2.171680e-01,25.73
uniform,4,1,4000,2000,1.062841e-01,1.194507e-04,5.001380e-04,1.029791e-01,1.035390e-01,2.159937e-01,2.171680e-01,25.06
uniform,4,2,4000,2000,8.563977e-02,1.002050e-04,3.052806e-04,8.045514e-02,8.007717e-02,2.181930e-01,2.171680e-01,25.16
tilted,4,0,4000,2000,3.569318e-01,4.718955e-04,4.393467e-04,9.651790e-02,4.389909e-02,4.774723e-01,2.171680e-01,25.40
tilted,4,1,4000,2000,3.548304e-01,5.577548e-04,3.575871e-04,8.707532e-02,4.002507e-02,4.724533e-01,2.171680e-01,25.04
tilted,4,2,4000,2000,3.491265e-01,5.013903e-04,3.544182e-04,8.668864e-02,3.956925e-02,4.757735e-01,2.171680e-01,25.07
uniform,8,0,4000,2000,6.710386e-01,2.188536e-03,1.322045e-03,6.619540e-01,6.468059e-01,5.621460e-02,5.492820e-02,25.32
uniform,8,1,4000,2000,6.701784e-01,2.221086e-03,1.326455e-03,6.630571e-01,6.559997e-01,5.551912e-02,5.492820e-02,24.82
uniform,8,2,4000,2000,7.021361e-01,2.365985e-03,1.522600e-03,7.103912e-01,6.943854e-01,5.619431e-02,5.492820e-02,25.49
tilted,8,0,4000,2000,2.827898e+00,2.276450e-03,1.462183e-03,6.961543e-01,1.413833e-01,2.704597e-01,5.492820e-02,24.91
tilted,8,1,4000,2000,2.848129e+00,2.408555e-03,1.245017e-03,6.423804e-01,1.312725e-01,2.687904e-01,5.492820e-02,25.02
tilted,8,2,4000,2000,2.919222e+00,2.442212e-03,2.319147e-03,8.767359e-01,1.774266e-01,2.714223e-01,5.492820e-02,24.81
uniform,16,0,4000,2000,1.144431e+00,1.070421e-02,1.382322e-05,1.075757e+00,1.144648e+00,3.248124e-03,3.456131e-03,24.98
uniform,16,1,4000,2000,1.140066e+00,1.063065e-02,3.405266e-05,1.688439e+00,1.039169e+00,5.615512e-03,3.456131e-03,25.17
uniform,16,2,4000,2000,1.139327e+00,1.083455e-02,1.709480e-05,1.196305e+00,1.110382e+00,3.723572e-03,3.456131e-03,25.19
tilted,16,0,4000,2000,2.206657e+01,1.523747e-02,1.921647e-03,1.268372e+01,5.047099e-01,8.685504e-02,3.456131e-03,25.16
tilted,16,1,4000,2000,2.071845e+01,1.368044e-02,1.989806e-03,1.290670e+01,5.276767e-01,8.453517e-02,3.456131e-03,26.78
tilted,16,2,4000,2000,2.221138e+01,1.553570e-02,1.993947e-03,1.292012e+01,5.105641e-01,8.745941e-02,3.456131e-03,26.84
uniform,4,0,4000,10000,2.787715e-02,3.703398e-05,2.219138e-05,2.169184e-02,2.123549e-02,2.218349e-01,2.171680e-01,135.07
uniform,4,0,4000,40000,1.326746e-02,2.305664e-05,3.306961e-06,8.373726e-03,8.197560e-03,2.218349e-01,2.171680e-01,517.35
uniform,8,0,4000,10000,3.074202e-01,4.528406e-04,5.330507e-05,1.329196e-01,1.298779e-01,5.621460e-02,5.492820e-02,124.25
uniform,8,0,4000,40000,2.542951e-01,3.651020e-04,1.376651e-06,2.136075e-02,2.087194e-02,5.621460e-02,5.492820e-02,513.33
uniform,16,0,4000,10000,1.030775e+00,1.218082e-02,1.120566e-05,9.685642e-01,1.030590e+00,3.248124e-03,3.456131e-03,126.15
uniform,16,0,4000,40000,9.569663e-01,1.188379e-02,7.431389e-06,7.887598e-01,8.392714e-01,3.248124e-03,3.456131e-03,514.35
