arm,d,seed,n_interior,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
uniform,8,0,4000,0,3.223253e-01,3.158382e-02,9.632053e-02,1.944210e-01,7.869438e+00,8.348275e-03,0.3428
uniform,8,0,4000,200,2.737203e-03,3.157575e-05,2.537903e-03,1.677243e-04,9.386700e-01,9.542078e-03,27.9548
uniform,8,0,4000,400,2.678250e-03,3.405672e-05,2.482829e-03,1.613645e-04,9.310200e-01,9.536003e-03,56.6799
uniform,8,0,4000,600,2.616980e-03,3.553395e-05,2.421596e-03,1.598499e-04,9.214643e-01,9.521038e-03,89.0363
uniform,8,0,4000,800,2.533308e-03,3.441672e-05,2.337842e-03,1.610494e-04,9.076520e-01,9.495450e-03,117.3501
uniform,8,0,4000,1000,2.407886e-03,3.178406e-05,2.207255e-03,1.688474e-04,8.856491e-01,9.445533e-03,147.8051
uniform,8,0,4000,1200,2.242766e-03,2.861864e-05,2.019848e-03,1.942991e-04,8.534674e-01,9.349595e-03,180.5732
uniform,8,0,4000,1400,2.150712e-03,2.969174e-05,1.908411e-03,2.126089e-04,8.368499e-01,9.266476e-03,210.7223
uniform,8,0,4000,1600,1.998399e-03,2.615386e-05,1.732486e-03,2.397592e-04,8.043980e-01,9.118105e-03,237.8143
uniform,8,0,4000,1800,1.946945e-03,2.926332e-05,1.654237e-03,2.634447e-04,8.192129e-01,9.100750e-03,264.0184
uniform,8,0,4000,2000,1.756483e-03,2.359483e-05,1.456856e-03,2.760320e-04,7.578932e-01,8.786690e-03,292.9332
uniform,8,1,4000,0,4.744204e-02,3.078447e-04,2.673345e-02,2.040075e-02,9.488576e+00,6.225036e-03,0.2080
uniform,8,1,4000,200,4.282981e-03,3.987685e-05,4.064647e-03,1.784571e-04,9.323935e-01,9.539652e-03,31.0624
uniform,8,1,4000,400,4.197950e-03,3.993384e-05,3.985444e-03,1.725722e-04,9.244897e-01,9.528080e-03,59.6277
uniform,8,1,4000,600,4.055060e-03,4.192258e-05,3.841958e-03,1.711790e-04,9.092623e-01,9.488367e-03,90.9495
uniform,8,1,4000,800,3.797458e-03,4.006403e-05,3.560762e-03,1.966319e-04,8.781313e-01,9.350904e-03,118.6755
uniform,8,1,4000,1000,3.421379e-03,3.226744e-05,3.129735e-03,2.593760e-04,8.296889e-01,9.067461e-03,146.1745
uniform,8,1,4000,1200,3.157337e-03,2.890037e-05,2.792357e-03,3.360804e-04,7.947823e-01,8.758059e-03,173.4733
uniform,8,1,4000,1400,3.015202e-03,3.396845e-05,2.645683e-03,3.355503e-04,7.817478e-01,8.582795e-03,200.1015
uniform,8,1,4000,1600,2.788668e-03,3.362674e-05,2.362685e-03,3.923558e-04,7.512092e-01,8.236233e-03,226.8024
uniform,8,1,4000,1800,2.766670e-03,2.976753e-05,2.337044e-03,3.998582e-04,7.562580e-01,8.028278e-03,253.4408
uniform,8,1,4000,2000,2.519991e-03,3.081878e-05,2.101582e-03,3.875903e-04,7.301195e-01,7.775270e-03,280.4268
tilted,8,0,4000,0,2.779876e-01,3.172049e-02,5.184608e-02,1.944210e-01,7.680760e+00,8.421204e-03,0.1854
tilted,8,0,4000,200,5.707286e-02,2.676526e-03,4.086046e-02,1.353587e-02,2.032355e+00,3.487883e-03,26.8734
tilted,8,0,4000,400,2.690502e-02,6.033485e-04,1.801532e-02,8.286356e-03,2.073921e+00,4.873917e-03,54.6344
tilted,8,0,4000,600,1.731101e-02,6.573583e-04,1.141206e-02,5.241590e-03,1.725130e+00,5.091126e-03,81.6533
tilted,8,0,4000,800,1.304359e-02,6.454743e-04,8.600882e-03,3.797238e-03,1.608316e+00,5.002149e-03,108.1666
tilted,8,0,4000,1000,9.965080e-03,5.985876e-04,6.569973e-03,2.796519e-03,1.530949e+00,4.664990e-03,135.9070
tilted,8,0,4000,1200,7.937793e-03,6.240019e-04,5.281135e-03,2.032656e-03,1.473149e+00,4.468851e-03,163.6023
tilted,8,0,4000,1400,6.229748e-03,5.889380e-04,4.177670e-03,1.463140e-03,1.445275e+00,4.272892e-03,190.6373
tilted,8,0,4000,1600,5.008999e-03,5.896616e-04,3.316101e-03,1.103236e-03,1.444680e+00,4.233300e-03,217.7349
tilted,8,0,4000,1800,3.929005e-03,5.523345e-04,2.543601e-03,8.330691e-04,1.453963e+00,4.226528e-03,244.9865
tilted,8,0,4000,2000,3.232188e-03,5.676328e-04,2.067705e-03,5.968501e-04,1.444585e+00,4.190740e-03,271.2015
tilted,8,1,4000,0,2.132357e-01,2.728102e-04,1.925622e-01,2.040075e-02,9.539906e+00,6.816931e-03,0.1738
tilted,8,1,4000,200,4.485005e-02,1.180063e-03,3.174511e-02,1.192487e-02,2.171616e+00,4.421750e-03,27.7581
tilted,8,1,4000,400,2.027476e-02,3.415433e-04,1.412696e-02,5.806259e-03,1.896338e+00,5.373324e-03,54.8112
tilted,8,1,4000,600,1.166366e-02,6.237565e-04,7.874347e-03,3.165560e-03,1.717902e+00,5.350215e-03,81.8721
tilted,8,1,4000,800,8.084217e-03,7.588916e-04,5.427382e-03,1.897943e-03,1.679515e+00,5.437489e-03,108.8029
tilted,8,1,4000,1000,6.369213e-03,7.100708e-04,4.315231e-03,1.343911e-03,1.619288e+00,5.357913e-03,135.5447
tilted,8,1,4000,1200,5.330174e-03,6.876792e-04,3.670242e-03,9.722528e-04,1.563846e+00,5.276081e-03,162.9360
tilted,8,1,4000,1400,4.402563e-03,5.800505e-04,3.113190e-03,7.093226e-04,1.503843e+00,5.146645e-03,191.0067
tilted,8,1,4000,1600,3.945950e-03,5.769031e-04,2.803692e-03,5.653551e-04,1.461396e+00,5.087793e-03,218.2588
tilted,8,1,4000,1800,3.387317e-03,5.070419e-04,2.439099e-03,4.411765e-04,1.427115e+00,4.939038e-03,244.5711
tilted,8,1,4000,2000,3.060736e-03,5.134411e-04,2.181116e-03,3.661789e-04,1.400853e+00,4.753391e-03,272.1411
uniform,16,0,4000,0,1.514662e-01,1.015624e-02,6.077662e-02,8.053336e-02,2.236316e+02,1.719083e-01,0.3912
uniform,16,0,4000,200,1.282583e-04,2.965094e-05,5.297275e-05,4.563459e-05,2.092868e+00,2.071661e-02,49.2212
uniform,16,0,4000,400,8.014440e-05,1.298563e-05,3.738877e-05,2.977000e-05,1.794562e+00,2.392084e-02,98.5409
uniform,16,0,4000,600,5.741824e-05,7.400383e-06,2.932662e-05,2.069124e-05,1.603443e+00,2.664377e-02,148.5832
uniform,16,0,4000,800,4.460679e-05,5.124542e-06,2.436932e-05,1.511293e-05,1.473218e+00,2.890799e-02,197.9584
uniform,16,0,4000,1000,3.653234e-05,3.922057e-06,2.112423e-05,1.148605e-05,1.381053e+00,3.076312e-02,246.5819
uniform,16,0,4000,1200,3.109423e-05,3.159219e-06,1.891977e-05,9.015248e-06,1.313502e+00,3.228098e-02,296.8372
uniform,16,0,4000,1400,2.726107e-05,2.621286e-06,1.736911e-05,7.270677e-06,1.262456e+00,3.352943e-02,346.6431
uniform,16,0,4000,1600,2.445041e-05,2.217001e-06,1.623399e-05,5.999418e-06,1.222732e+00,3.456843e-02,397.3067
uniform,16,0,4000,1800,2.230981e-05,1.900072e-06,1.536476e-05,5.044974e-06,1.190921e+00,3.544711e-02,446.3778
uniform,16,0,4000,2000,2.062208e-05,1.644124e-06,1.466858e-05,4.309379e-06,1.164805e+00,3.620183e-02,494.6620
uniform,16,1,4000,0,8.874832e-02,8.226727e-03,4.537163e-02,3.514997e-02,2.268766e+02,1.224527e-01,0.4342
uniform,16,1,4000,200,8.437379e-05,2.734488e-05,3.253042e-05,2.449849e-05,1.676068e+00,2.571583e-02,49.5328
uniform,16,1,4000,400,6.072428e-05,1.453239e-05,2.781396e-05,1.837793e-05,1.533298e+00,2.779819e-02,98.2120
uniform,16,1,4000,600,4.864858e-05,9.767205e-06,2.477434e-05,1.410703e-05,1.435246e+00,2.949462e-02,147.9123
uniform,16,1,4000,800,4.085993e-05,7.367717e-06,2.249533e-05,1.099689e-05,1.359961e+00,3.097993e-02,196.0950
uniform,16,1,4000,1000,3.535394e-05,5.836090e-06,2.076788e-05,8.749967e-06,1.301343e+00,3.226072e-02,248.9953
uniform,16,1,4000,1200,3.128214e-05,4.735460e-06,1.944273e-05,7.103954e-06,1.255151e+00,3.335444e-02,302.9723
uniform,16,1,4000,1400,2.817745e-05,3.900265e-06,1.840458e-05,5.872607e-06,1.218209e+00,3.428668e-02,353.0225
uniform,16,1,4000,1600,2.575365e-05,3.249362e-06,1.757126e-05,4.933030e-06,1.188217e+00,3.508308e-02,403.0846
uniform,16,1,4000,1800,2.382309e-05,2.733583e-06,1.688563e-05,4.203877e-06,1.163532e+00,3.576606e-02,456.7795
uniform,16,1,4000,2000,2.225694e-05,2.319674e-06,1.630757e-05,3.629702e-06,1.142969e+00,3.635416e-02,529.2815
tilted,16,0,4000,0,1.555192e-01,1.006172e-02,6.492417e-02,8.053336e-02,2.309375e+02,1.828406e-01,0.3444
tilted,16,0,4000,200,7.779364e-03,2.218873e-04,6.509724e-03,1.047753e-03,9.733771e+00,1.379113e-02,62.0451
tilted,16,0,4000,400,7.080393e-03,1.964232e-04,5.998271e-03,8.856985e-04,9.378780e+00,1.479734e-02,111.6181
tilted,16,0,4000,600,6.359932e-03,1.295747e-04,5.418587e-03,8.117707e-04,9.374571e+00,1.635027e-02,161.3785
tilted,16,0,4000,800,5.678204e-03,8.358304e-05,4.856367e-03,7.382546e-04,9.518094e+00,1.841988e-02,247.4773
tilted,16,0,4000,1000,5.135837e-03,5.652435e-05,4.411028e-03,6.682848e-04,9.805320e+00,2.041874e-02,299.7733
tilted,16,0,4000,1200,4.592006e-03,4.479211e-05,3.977124e-03,5.700901e-04,1.025069e+01,2.278892e-02,353.4215
tilted,16,0,4000,1400,6.068409e-03,4.168032e-05,4.633747e-03,1.392983e-03,1.776255e+01,3.172743e-02,407.2673
tilted,16,0,4000,1600,3.680452e-03,4.337408e-05,3.217481e-03,4.195971e-04,1.172224e+01,2.846625e-02,457.5969
tilted,16,0,4000,1800,3.326869e-03,4.560091e-05,2.914717e-03,3.665506e-04,1.248246e+01,3.116520e-02,506.9820
tilted,16,0,4000,2000,2.934599e-03,5.017075e-05,2.572750e-03,3.116781e-04,1.348814e+01,3.407854e-02,556.7983
tilted,16,1,4000,0,6.775679e-02,8.514446e-03,2.409238e-02,3.514997e-02,2.225229e+02,1.208397e-01,0.3373
tilted,16,1,4000,200,9.432636e-03,2.239263e-04,7.819481e-03,1.389228e-03,1.140369e+01,1.635547e-02,49.1973
tilted,16,1,4000,400,8.307537e-03,1.824045e-04,7.082703e-03,1.042430e-03,1.069818e+01,1.716713e-02,97.7363
tilted,16,1,4000,600,7.037015e-03,1.076438e-04,6.058065e-03,8.713063e-04,1.084642e+01,1.991387e-02,155.2296
tilted,16,1,4000,800,6.178432e-03,7.797955e-05,5.373772e-03,7.266802e-04,1.090296e+01,2.187112e-02,210.1041
tilted,16,1,4000,1000,5.417069e-03,7.205118e-05,4.753672e-03,5.913462e-04,1.110711e+01,2.444677e-02,260.9348
tilted,16,1,4000,1200,4.903088e-03,6.568938e-05,4.309996e-03,5.274029e-04,1.156665e+01,2.699825e-02,314.7513
tilted,16,1,4000,1400,4.540174e-03,6.349890e-05,4.048941e-03,4.277337e-04,1.411137e+01,3.210634e-02,378.5717
tilted,16,1,4000,1600,4.047561e-03,6.732211e-05,3.541797e-03,4.384409e-04,1.274869e+01,3.157206e-02,430.9180
tilted,16,1,4000,1800,3.624238e-03,6.967592e-05,3.159676e-03,3.948857e-04,1.363060e+01,3.390432e-02,479.8897
tilted,16,1,4000,2000,3.221231e-03,6.549322e-05,2.808283e-03,3.474554e-04,1.453928e+01,3.611493e-02,527.8555
