d,n,exact_ms,pred_rel_sd,obs_rel_sd,worst_ratio,top1pct_share
1,10000,3.883819e-01,1.3280e-02,6.4365e-03,1.3665e-02,0.0553
1,100000,3.883819e-01,4.2217e-03,3.4776e-03,5.3906e-03,0.0556
1,1000000,3.883819e-01,1.3357e-03,1.3411e-03,2.7445e-03,0.0556
2,10000,6.216532e-01,1.1691e-02,5.6688e-03,1.0046e-02,0.0571
2,100000,6.216532e-01,3.7101e-03,2.3632e-03,5.1694e-03,0.0572
2,1000000,6.216532e-01,1.1715e-03,1.3751e-03,2.2238e-03,0.0570
4,10000,1.328787e+00,9.4146e-03,4.6548e-03,7.2213e-03,0.0486
4,100000,1.328787e+00,2.9787e-03,3.2924e-03,4.9179e-03,0.0488
4,1000000,1.328787e+00,9.4310e-04,8.6645e-04,1.4076e-03,0.0488
8,10000,3.648915e+00,7.1934e-03,5.9021e-03,8.3417e-03,0.0381
8,100000,3.648915e+00,2.2821e-03,2.5162e-03,3.1037e-03,0.0383
8,1000000,3.648915e+00,7.2239e-04,9.3737e-04,1.9644e-03,0.0385
16,10000,1.188624e+01,5.5323e-03,4.4955e-03,1.0112e-02,0.0300
16,100000,1.188624e+01,1.7538e-03,1.3856e-03,2.2373e-03,0.0301
16,1000000,1.188624e+01,5.5475e-04,5.3333e-04,8.8472e-04,0.0301
