d,seed,params,rel_sd,stderr_sd,rel_rms,rel_sd_final,stderr_sd_final,best_step,best_loss,final_loss,loss_r,loss_tc,loss_bc,exact_sd,exact_rms,base_zero,base_profile,train_seconds,wall_seconds,ms_per_step
1,0,50049,1.679885e-02,1.047554e-05,1.062557e-02,9.979295e-02,3.989141e-05,4980,4.149551e-04,6.826293e-03,2.000567e-03,7.299859e-04,1.734484e-03,3.941870e-01,6.232030e-01,1.580983,0.970984,117.90,121.16,23.576
1,1,50049,1.007289e-02,5.127305e-06,6.371285e-03,1.476153e-02,7.221838e-06,4910,1.606181e-04,1.763301e-04,1.401723e-04,1.960780e-05,7.447888e-06,3.941870e-01,6.232030e-01,1.580983,0.970984,141.79,144.97,28.352
1,2,50049,8.610644e-03,5.292990e-06,5.446386e-03,8.717836e-03,5.446029e-06,4880,2.024014e-04,2.086169e-04,1.654359e-04,3.096183e-05,1.291203e-05,3.941870e-01,6.232030e-01,1.580983,0.970984,136.68,139.48,27.331
2,0,50177,1.319631e-02,1.131421e-05,7.289873e-03,1.525758e-02,1.009674e-05,4997,3.611226e-04,3.783963e-04,2.431433e-04,8.319868e-05,4.998380e-05,4.355536e-01,7.884499e-01,1.810225,0.964406,195.55,138.20,39.101
2,1,50177,1.401328e-02,1.043458e-05,7.741186e-03,2.528225e-02,1.216185e-05,4853,3.505796e-04,8.451791e-04,5.832609e-04,2.345499e-04,8.657869e-05,4.355536e-01,7.884499e-01,1.810225,0.964406,208.43,212.14,41.677
2,2,50177,1.004039e-02,7.268844e-06,5.546489e-03,3.783458e-02,2.683004e-05,4954,2.738682e-04,4.902871e-03,2.751234e-03,2.596871e-04,2.018895e-04,4.355536e-01,7.884499e-01,1.810225,0.964406,210.90,89.49,42.171
4,0,50433,1.131475e-01,1.690337e-04,5.060759e-02,1.034092e-01,1.831347e-04,4956,8.422537e-03,9.826103e-03,4.165919e-03,1.332270e-03,4.351198e-03,5.155828e-01,1.152730e+00,2.235781,0.942896,417.92,31.49,83.568
4,1,50433,1.335806e-02,1.083160e-05,5.974674e-03,2.705873e-02,1.228611e-05,4928,5.221459e-04,1.297806e-03,7.321522e-04,1.004819e-04,2.829047e-04,5.155828e-01,1.152730e+00,2.235781,0.942896,328.96,332.12,65.780
4,2,50433,1.649599e-02,1.265314e-05,7.378177e-03,2.130496e-02,1.502821e-05,4927,7.086275e-04,7.382589e-04,6.651643e-04,7.899357e-05,8.136892e-05,5.155828e-01,1.152730e+00,2.235781,0.942896,317.94,205.60,63.575
8,0,50945,3.402660e-02,2.803877e-05,1.183677e-02,3.210867e-02,2.657182e-05,4990,3.510342e-03,3.541266e-03,2.933205e-03,2.626033e-04,3.538971e-04,6.645025e-01,1.910213e+00,2.874652,0.898045,657.84,367.60,131.543
8,1,50945,3.300267e-02,2.631910e-05,1.148058e-02,3.311594e-02,2.529739e-05,4987,3.502183e-03,4.073658e-03,3.045534e-03,3.247629e-04,5.174836e-04,6.645025e-01,1.910213e+00,2.874652,0.898045,536.70,409.17,107.318
8,2,50945,3.222375e-02,2.720909e-05,1.120962e-02,4.436423e-02,3.172212e-05,4956,3.166797e-03,5.707134e-03,6.577251e-03,9.427306e-04,4.917267e-04,6.645025e-01,1.910213e+00,2.874652,0.898045,536.47,430.42,107.272
16,0,51969,6.951057e-01,6.768720e-04,1.896054e-01,6.951057e-01,6.768720e-04,5001,2.055953e-01,2.055953e-01,1.331087e-01,3.694833e-02,3.572677e-02,9.404206e-01,3.447643e+00,3.666065,0.820698,1003.41,393.33,200.641
16,1,51969,9.812205e-01,8.067321e-04,2.676495e-01,9.691248e-01,7.841941e-04,4988,6.696369e-02,7.988954e-02,5.568632e-02,1.044584e-02,9.656288e-03,9.404206e-01,3.447643e+00,3.666065,0.820698,971.08,294.50,194.178
16,2,51969,4.543743e-01,7.132287e-04,1.239406e-01,4.543743e-01,7.132287e-04,5001,6.792358e-02,6.792358e-02,4.703319e-02,1.050940e-02,1.041644e-02,9.404206e-01,3.447643e+00,3.666065,0.820698,1436.41,98.53,287.224
