d,seed,step,loss,loss_r,loss_tc,loss_bc,rel_sd,stderr_sd,rel_rms,train_seconds
1,0,0,5.029606e+00,2.479187e+00,3.358763e-01,2.214543e+00,1.387449e+00,3.432497e-03,8.775859e-01,0.0599
1,0,250,7.267789e-01,3.368983e-01,1.285588e-01,2.613217e-01,1.426872e+00,2.036128e-03,9.025218e-01,5.9678
1,0,500,4.193034e-02,2.508126e-02,1.122037e-02,5.628707e-03,1.359788e-01,2.291479e-04,8.600903e-02,12.2607
1,0,750,1.185443e-02,9.594221e-03,1.441993e-03,8.182192e-04,4.423022e-02,1.413174e-04,2.797640e-02,18.1410
1,0,1000,8.669931e-03,6.739222e-03,1.076884e-03,8.538240e-04,4.334941e-02,1.308084e-04,2.741928e-02,24.5270
1,0,1250,4.805772e-03,4.158440e-03,3.612579e-04,2.860749e-04,4.272031e-02,7.483149e-05,2.702135e-02,30.4176
1,0,1500,2.421479e-03,2.037426e-03,2.321076e-04,1.519456e-04,2.885283e-02,4.527803e-05,1.824993e-02,36.2494
1,0,1750,1.432069e-03,1.150574e-03,1.866420e-04,9.485357e-05,2.555939e-02,4.280935e-05,1.616677e-02,42.1725
1,0,2000,1.046248e-03,8.108966e-04,1.598411e-04,7.551053e-05,2.299860e-02,3.842244e-05,1.454703e-02,47.9390
1,0,2250,7.796793e-04,5.887836e-04,1.292104e-04,6.168534e-05,2.162566e-02,3.708326e-05,1.367862e-02,53.7725
1,0,2500,6.795212e-04,4.995763e-04,1.225543e-04,5.739064e-05,2.135948e-02,3.796431e-05,1.351025e-02,59.6408
1,0,2750,2.561041e-03,1.787762e-03,2.978768e-04,4.754017e-04,2.473704e-02,4.743334e-05,1.564662e-02,65.3506
1,0,3000,6.163950e-04,4.774156e-04,9.647269e-05,4.250672e-05,1.933034e-02,3.806729e-05,1.222678e-02,71.2075
1,0,3250,5.648087e-04,4.340249e-04,9.165376e-05,3.913004e-05,1.887093e-02,3.733147e-05,1.193620e-02,76.9521
1,0,3500,5.646569e-04,4.335084e-04,9.272112e-05,3.842743e-05,1.774973e-02,3.410769e-05,1.122702e-02,82.7664
1,0,3750,5.364619e-04,4.138175e-04,8.698548e-05,3.565896e-05,1.739610e-02,3.280992e-05,1.100334e-02,88.4980
1,0,4000,5.930735e-04,4.337253e-04,1.167670e-04,4.258117e-05,1.669685e-02,3.139807e-05,1.056106e-02,94.2340
1,0,4250,6.767873e-04,4.816001e-04,9.456812e-05,1.006191e-04,1.672839e-02,2.692329e-05,1.058100e-02,100.1338
1,0,4500,3.619944e-03,2.158293e-03,3.981281e-04,1.063523e-03,7.425964e-02,1.015481e-04,4.697054e-02,106.1171
1,0,4750,7.757198e-04,6.184644e-04,6.872357e-05,8.853188e-05,2.978472e-02,4.589803e-05,1.883936e-02,112.3640
1,0,5000,4.465037e-03,2.000567e-03,7.299859e-04,1.734484e-03,9.986124e-02,1.259431e-04,6.316401e-02,117.9031
1,1,0,5.002152e+00,2.789316e+00,1.980225e-01,2.014814e+00,2.229015e+00,4.237982e-03,1.409892e+00,0.0330
1,1,250,4.987570e-01,2.940804e-01,8.515116e-02,1.195254e-01,9.390506e-01,1.398118e-03,5.939662e-01,5.8782
1,1,500,1.736003e-02,1.623881e-02,6.347413e-04,4.864798e-04,1.226301e-01,2.384829e-04,7.756572e-02,11.7220
1,1,750,1.785545e-02,1.165296e-02,1.829165e-03,4.373324e-03,2.045828e-01,2.888884e-04,1.294023e-01,17.6829
1,1,1000,2.618359e-03,2.398601e-03,1.283053e-04,9.145329e-05,3.920519e-02,6.347116e-05,2.479798e-02,23.8379
1,1,1250,1.174136e-03,1.116574e-03,2.702396e-05,3.053829e-05,1.411231e-02,2.447445e-05,8.926290e-03,29.8088
1,1,1500,7.328093e-04,7.146900e-04,6.598026e-06,1.152136e-05,1.025332e-02,1.527259e-05,6.485410e-03,36.0193
1,1,1750,5.688973e-04,5.571467e-04,3.890284e-06,7.860279e-06,1.059573e-02,1.966616e-05,6.701991e-03,43.1319
1,1,2000,4.685865e-04,4.534427e-04,7.734368e-06,7.409390e-06,1.234451e-02,2.453541e-05,7.808123e-03,49.1776
1,1,2250,4.133238e-04,3.995609e-04,8.213027e-06,5.549891e-06,1.160604e-02,2.310622e-05,7.341026e-03,54.9547
1,1,2500,3.557856e-04,3.392181e-04,1.126055e-05,5.306959e-06,1.204456e-02,2.380483e-05,7.618396e-03,60.4642
