target,d,nx,nt,unknowns,rel_l2,seconds,node_steps,bytes_counted,bytes_traced,arrays,fitted_order
1e-02,1,8,4,7,6.665351e-03,0.000312,2.800000e+01,280,4216,5,2.0650
1e-02,2,8,4,49,7.611495e-03,0.000758,1.960000e+02,1960,9552,5,2.0056
1e-02,3,8,4,343,6.790584e-03,0.001469,1.372000e+03,13720,26784,5,1.9962
1e-02,4,8,4,2401,6.111951e-03,0.002402,9.604000e+03,96040,148448,5,1.9939
1e-02,5,6,3,3125,9.964979e-03,0.002178,9.375000e+03,125000,188080,5,1.9936
1e-02,6,6,3,15625,9.329116e-03,0.003925,4.687500e+04,625000,824768,5,1.9905
1e-03,1,22,11,21,8.489464e-04,0.001419,2.310000e+02,840,3256,5,2.0650
1e-03,2,24,12,529,8.416124e-04,0.005160,6.348000e+03,21160,36320,5,2.0056
1e-03,3,22,11,9261,8.984425e-04,0.010211,1.018710e+05,370440,569808,5,1.9962
1e-03,4,20,10,130321,9.798061e-04,0.036627,1.303210e+06,5212840,6257376,5,1.9939
1e-03,5,20,10,2476099,9.012403e-04,0.747926,2.476099e+07,99043960,118854752,5,1.9936
1e-03,6,20,10,47045881,8.435383e-04,25.589831,4.704588e+08,1881835240,2258204320,5,1.9905
