d,nx,nt,unknowns,rel_l2,order,seconds,quad_ratio
1,8,4,7,6.665351e-03,,0.000322,1.011728116
1,16,8,15,1.613665e-03,2.046,0.000863,1.002954280
1,32,16,31,3.999716e-04,2.012,0.002503,1.000739990
1,64,32,63,9.977518e-05,2.003,0.008672,1.000185087
2,8,4,49,7.611495e-03,,0.000761,1.008434752
2,16,8,225,1.895273e-03,2.006,0.002294,1.002114276
2,32,16,961,4.732585e-04,2.002,0.008077,1.000528921
2,64,32,3969,1.182782e-04,2.000,0.030371,1.000132252
3,8,4,343,6.790584e-03,,0.001486,1.007286124
3,16,8,3375,1.698643e-03,1.999,0.005269,1.001824599
3,32,16,29791,4.246351e-04,2.000,0.023387,1.000456342
3,64,32,250047,1.061506e-04,2.000,0.165948,1.000114098
