d,nx,nt,rel_l2,over_plateau
1,128,1,5.623112e-02,1586.1492
1,128,2,1.590647e-02,448.6846
1,128,4,3.800387e-03,107.2001
1,128,8,9.082405e-04,25.6194
1,128,16,1.978495e-04,5.5809
1,128,32,2.269383e-05,0.6401
1,128,64,2.493015e-05,0.7032
1,128,128,3.545134e-05,1.0000
2,128,1,1.104237e-02,349.1923
2,128,2,2.930237e-03,92.6628
2,128,4,7.035426e-04,22.2481
2,128,8,1.520861e-04,4.8094
2,128,16,1.689814e-05,0.5344
2,128,32,2.151415e-05,0.6803
2,128,64,2.956727e-05,0.9350
2,128,128,3.162259e-05,1.0000
3,64,1,2.681941e-03,24.6316
3,64,2,6.899366e-04,6.3366
3,64,4,1.142402e-04,1.0492
3,64,8,6.657056e-05,0.6114
3,64,16,9.757232e-05,0.8961
3,64,32,1.061506e-04,0.9749
3,64,64,1.083334e-04,0.9950
3,64,128,1.088819e-04,1.0000
4,32,1,1.095331e-03,2.8515
4,32,2,4.207342e-04,1.0953
4,32,4,3.723834e-04,0.9694
4,32,8,3.793536e-04,0.9876
4,32,16,3.827693e-04,0.9965
4,32,32,3.837813e-04,0.9991
4,32,64,3.840510e-04,0.9998
4,32,128,3.841203e-04,1.0000
