d,n,exact_ms,pred_rel_sd,obs_rel_sd,worst_ratio,top1pct_share
1,10000,3.488418e-01,9.9831e-03,9.1967e-03,1.9113e-02,0.0441
1,100000,3.488418e-01,3.1489e-03,2.9375e-03,6.1213e-03,0.0441
1,1000000,3.488418e-01,9.9464e-04,1.0737e-03,1.9152e-03,0.0440
2,10000,1.820771e-01,1.4492e-02,1.5688e-02,2.3060e-02,0.0730
2,100000,1.820771e-01,4.5761e-03,5.9187e-03,9.8537e-03,0.0731
2,1000000,1.820771e-01,1.4463e-03,1.1038e-03,1.3470e-03,0.0731
4,10000,4.716194e-02,2.4684e-02,1.8845e-02,5.0746e-02,0.1677
4,100000,4.716194e-02,7.8246e-03,6.4626e-03,1.1411e-02,0.1691
4,1000000,4.716194e-02,2.4694e-03,3.8162e-03,6.4942e-03,0.1686
8,10000,3.017107e-03,6.0234e-02,4.0008e-02,7.8649e-02,0.4701
8,100000,3.017107e-03,1.8825e-02,1.5450e-02,2.3293e-02,0.4693
8,1000000,3.017107e-03,5.9591e-03,5.5992e-03,1.0118e-02,0.4709
16,10000,1.194484e-05,2.1231e-01,2.1361e-01,3.5180e-01,0.8937
16,100000,1.194484e-05,8.6725e-02,7.3728e-02,1.0751e-01,0.8978
16,1000000,1.194484e-05,2.7952e-02,4.0682e-02,5.9867e-02,0.8965
