d,seed,params,rel_l2,stderr,rel_l2_final,stderr_final,best_step,best_loss,final_loss,loss_r,loss_ic,loss_bc,exact_rms,train_seconds,wall_seconds,ms_per_step
1,0,50049,6.019022e-04,1.036390e-06,6.019022e-04,1.036390e-06,5001,1.089210e-05,1.089210e-05,9.080325e-06,8.107253e-07,1.018870e-06,5.906283e-01,126.88,130.46,25.370
1,1,50049,1.010715e-03,1.855125e-06,4.739573e-03,2.628283e-06,4987,1.651218e-05,6.606205e-05,2.759248e-05,1.013734e-05,9.729655e-06,5.906283e-01,180.06,183.18,36.005
1,2,50049,8.416360e-04,1.689242e-06,8.416360e-04,1.689242e-06,5001,1.590073e-05,1.590073e-05,1.272203e-05,1.309893e-06,1.958876e-06,5.906283e-01,156.66,159.72,31.325
2,0,50177,3.922406e-03,7.718038e-06,3.896888e-03,7.914917e-06,4839,4.843556e-05,4.951315e-05,2.373429e-05,9.699658e-06,1.612069e-05,4.267050e-01,257.52,260.99,51.493
2,1,50177,3.885360e-03,7.659173e-06,3.886297e-03,7.740655e-06,4797,5.617263e-05,5.684448e-05,3.221977e-05,1.109226e-05,1.357955e-05,4.267050e-01,238.65,241.93,47.720
2,2,50177,3.987744e-03,9.123522e-06,2.828509e-02,1.235559e-05,4949,5.604064e-05,3.295116e-04,4.041844e-05,1.216510e-04,1.120830e-04,4.267050e-01,254.48,257.75,50.886
4,0,50433,4.191452e-02,5.113104e-05,4.184144e-02,5.050501e-05,4999,2.303489e-04,2.306469e-04,9.033222e-05,7.373571e-05,6.705843e-05,2.171680e-01,400.69,404.20,80.123
4,1,50433,3.984319e-02,5.630848e-05,3.984319e-02,5.630848e-05,5001,2.041311e-04,2.041311e-04,9.198740e-05,5.906521e-05,5.320191e-05,2.171680e-01,373.95,377.40,74.775
4,2,50433,3.400485e-02,4.030647e-05,1.326931e-01,4.981771e-05,4977,1.720016e-04,1.438128e-03,1.675614e-04,2.894638e-04,1.558192e-04,2.171680e-01,384.34,387.90,76.852
8,0,50945,7.341915e-01,1.758745e-03,7.341915e-01,1.758745e-03,5001,3.846969e-04,3.846969e-04,7.617687e-05,2.150986e-04,9.373026e-05,5.492820e-02,627.12,630.89,125.400
8,1,50945,7.874332e-01,1.149246e-03,8.139111e-01,1.157200e-03,4971,3.582932e-04,4.555455e-04,1.328956e-04,3.604477e-04,2.532928e-04,5.492820e-02,629.94,633.63,125.963
8,2,50945,7.692247e-01,1.457584e-03,7.692247e-01,1.457584e-03,5001,7.239259e-04,7.239259e-04,1.368010e-04,4.297656e-04,1.580306e-04,5.492820e-02,649.83,653.62,129.939
16,0,51969,1.015777e+00,1.206874e-02,1.015777e+00,1.206874e-02,5001,1.190543e-05,1.190543e-05,3.012380e-07,1.056163e-05,1.043953e-06,3.456131e-03,1269.17,1273.73,253.783
16,1,51969,1.034232e+00,1.168142e-02,1.034232e+00,1.168142e-02,5001,1.386674e-05,1.386674e-05,3.514997e-07,1.251383e-05,1.003380e-06,3.456131e-03,1050.25,1054.72,210.009
16,2,51969,1.072481e+00,1.129747e-02,1.072481e+00,1.129747e-02,5001,5.224519e-05,5.224519e-05,3.956300e-07,5.006945e-05,1.783032e-06,3.456131e-03,1144.37,1149.04,228.829
