d,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
1,0,0,6.121584e-01,8.854827e-02,5.050747e-01,1.853544e-02,7.214274e-01,1.430153e-03,0.1020
1,0,250,5.048952e-03,7.117394e-04,3.120075e-03,1.217137e-03,3.335947e-02,1.344126e-04,6.1632
1,0,500,2.770048e-03,4.073055e-04,1.031993e-03,1.330750e-03,4.477026e-02,6.632910e-05,12.9978
1,0,750,1.319790e-03,3.042895e-04,3.962562e-04,6.192440e-04,1.712121e-02,7.176268e-05,19.2831
1,0,1000,1.083202e-03,2.708959e-04,3.000704e-04,5.122354e-04,1.424459e-02,6.802093e-05,25.6100
1,0,1250,8.989882e-04,2.489638e-04,2.203653e-04,4.296591e-04,1.342724e-02,6.316019e-05,31.8492
1,0,1500,1.051045e-03,2.877018e-04,3.202356e-04,4.431077e-04,1.661350e-02,6.490677e-05,38.2637
1,0,1750,5.580432e-04,1.903179e-04,1.075932e-04,2.601321e-04,9.498916e-03,5.194101e-05,44.4242
1,0,2000,3.881117e-04,1.483098e-04,6.810397e-05,1.716979e-04,8.698070e-03,3.692452e-05,50.6933
1,0,2250,1.846958e-04,9.081325e-05,2.471347e-05,6.916904e-05,4.806155e-03,2.539579e-05,57.6998
1,0,2500,1.082329e-04,6.253800e-05,1.260989e-05,3.308500e-05,9.042465e-03,1.602215e-05,63.8119
1,0,2750,1.752745e-04,6.389355e-05,2.892399e-05,8.245700e-05,1.340003e-02,2.440894e-05,69.9739
1,0,3000,3.914706e-05,2.978205e-05,3.361690e-06,6.003319e-06,1.457323e-03,7.478744e-06,76.5578
1,0,3250,3.066681e-05,2.401584e-05,2.422246e-06,4.228725e-06,1.204841e-03,6.224239e-06,82.7111
1,0,3500,2.506825e-05,1.972555e-05,1.932599e-06,3.410105e-06,1.140828e-03,5.544121e-06,89.0724
1,0,3750,2.094424e-05,1.640006e-05,1.676601e-06,2.867579e-06,1.005098e-03,4.920237e-06,95.2974
1,0,4000,2.123511e-04,1.875784e-05,9.874627e-05,9.484697e-05,1.889110e-02,2.265762e-05,101.5744
1,0,4250,2.064115e-05,1.209261e-05,4.314551e-06,4.233989e-06,4.384758e-03,5.320003e-06,107.6808
1,0,4500,1.403550e-05,1.141678e-05,1.104991e-06,1.513731e-06,7.010813e-04,3.880986e-06,113.8170
1,0,4750,1.370416e-04,1.197287e-04,7.441182e-06,9.871661e-06,8.505719e-03,1.103944e-05,120.7222
1,0,5000,1.090992e-05,9.080325e-06,8.107253e-07,1.018870e-06,6.089839e-04,3.295952e-06,126.8762
1,1,0,6.875981e-01,2.589028e-02,6.460043e-01,1.570348e-02,6.847630e-01,1.387825e-03,0.0300
1,1,250,8.777024e-03,1.129683e-03,3.973044e-03,3.674296e-03,7.767358e-02,1.378786e-04,7.4732
1,1,500,1.781462e-03,2.871807e-04,7.847559e-04,7.095255e-04,1.822833e-02,8.112418e-05,17.5911
