step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
0,6.267696e-01,8.854827e-02,5.196859e-01,1.853544e-02,7.123596e-01,2.102917e-03,0.1322
500,4.297891e-03,6.234418e-04,3.377456e-03,2.969930e-04,2.974787e-02,2.047778e-04,13.3755
1000,2.325729e-03,3.301304e-04,1.824366e-03,1.712322e-04,2.023485e-02,1.663006e-04,26.9142
1500,1.007486e-03,1.754366e-04,7.451492e-04,8.690025e-05,1.284683e-02,9.185146e-05,40.9357
2000,8.070018e-03,4.072862e-04,2.976238e-03,4.686493e-03,9.167684e-02,1.400759e-04,55.0813
2500,2.298140e-04,5.428235e-05,1.157673e-04,5.976442e-05,4.786769e-03,4.558224e-05,68.8562
3000,1.429150e-04,4.004169e-05,6.312835e-05,3.974499e-05,3.519231e-03,3.914480e-05,82.2601
3500,9.471426e-05,2.769124e-05,3.673521e-05,3.028782e-05,2.934138e-03,3.170402e-05,95.9010
4000,7.044974e-05,2.043309e-05,2.504142e-05,2.497523e-05,2.775456e-03,2.425610e-05,117.0236
4500,6.194653e-04,4.240687e-05,2.181451e-04,3.589133e-04,1.540512e-02,2.695860e-05,136.3837
5000,5.210572e-04,3.606340e-05,1.726061e-04,3.123877e-04,1.994982e-02,4.873778e-05,158.2803
