sweep,alpha_true,alpha_init,alpha_hat,rel_err,rel_l2,seconds,n_obs,sigma,t_max
noise,0.050000,0.200000,0.049759,0.004828,1.039980e-02,58.3,200,0.0,1.0
noise,0.050000,0.200000,0.050340,0.006795,1.648209e-02,47.7,200,0.01,1.0
noise,0.050000,0.200000,0.052619,0.052375,1.447143e-02,46.3,200,0.05,1.0
noise,0.050000,0.200000,0.055387,0.107750,3.041878e-02,45.6,200,0.1,1.0
data,0.050000,0.200000,0.046837,0.063260,4.494687e-02,50.5,25,0.02,1.0
data,0.050000,0.200000,0.050508,0.010151,1.263568e-02,46.5,50,0.02,1.0
data,0.050000,0.200000,0.050371,0.007416,1.407934e-02,47.0,100,0.02,1.0
data,0.050000,0.200000,0.050949,0.018987,9.013633e-03,48.8,200,0.02,1.0
data,0.050000,0.200000,0.049695,0.006099,2.200402e-02,48.1,400,0.02,1.0
window,0.050000,0.200000,0.053536,0.070725,3.139451e-02,46.8,200,0.02,0.1
window,0.050000,0.200000,0.052134,0.042678,2.586901e-02,49.8,200,0.02,0.25
window,0.050000,0.200000,0.051621,0.032418,1.181735e-02,50.3,200,0.02,0.5
window,0.050000,0.200000,0.050949,0.018987,9.013633e-03,49.2,200,0.02,1.0
