step,loss,alpha_hat,rel_l2
0,3.830996e+00,0.200601,8.331610e-01
500,1.441235e-02,0.065955,5.163679e-02
1000,6.921487e-03,0.052293,3.308941e-02
1500,2.090597e-02,0.050476,6.011017e-02
2000,5.755463e-03,0.050349,2.586095e-02
2500,5.172643e-03,0.050404,2.138012e-02
3000,4.727828e-02,0.050519,1.362737e-01
3500,4.365147e-03,0.050635,1.365352e-02
4000,4.296991e-03,0.050570,1.251042e-02
4500,4.368350e-03,0.050787,1.220972e-02
5000,8.895316e-03,0.050749,6.056738e-02
5500,4.061311e-03,0.050928,9.080885e-03
6000,4.040593e-03,0.050949,9.013633e-03
