arm,w_ic_set,w_bc_set,adaptive,seed,steps,rel_l2,amplitude_ratio,loss_r,loss_ic,loss_bc,w_ic_final,w_bc_final,seconds
sym_w=0.01,0.01,0.01,0,0,3000,5.701695e-02,9.872906e-01,5.754689e-05,8.470028e-03,1.531601e-03,1.000000e-02,1.000000e-02,46.3
sym_w=0.01,0.01,0.01,0,1,3000,5.560024e-02,9.964103e-01,1.718743e-05,8.594816e-03,1.599409e-03,1.000000e-02,1.000000e-02,46.3
sym_w=0.01,0.01,0.01,0,2,3000,5.422763e-02,1.001287e+00,1.212196e-05,9.052727e-03,1.463902e-03,1.000000e-02,1.000000e-02,46.0
sym_w=0.1,0.1,0.1,0,0,3000,2.034403e-02,9.989479e-01,3.844794e-05,1.816674e-03,1.314097e-04,1.000000e-01,1.000000e-01,45.9
sym_w=0.1,0.1,0.1,0,1,3000,1.828580e-02,1.001181e+00,3.147130e-05,1.386132e-03,1.025213e-04,1.000000e-01,1.000000e-01,46.9
sym_w=0.1,0.1,0.1,0,2,3000,1.932077e-02,1.002435e+00,3.742979e-05,1.681059e-03,1.444485e-04,1.000000e-01,1.000000e-01,47.4
sym_w=1,1.0,1.0,0,0,3000,4.202991e-03,1.000468e+00,3.401148e-05,7.467520e-05,3.554571e-05,1.000000e+00,1.000000e+00,48.2
sym_w=1,1.0,1.0,0,1,3000,9.236994e-03,9.955264e-01,6.480334e-05,1.161248e-04,6.908989e-05,1.000000e+00,1.000000e+00,49.6
sym_w=1,1.0,1.0,0,2,3000,4.851341e-03,1.000543e+00,4.254017e-05,9.251132e-05,3.757979e-05,1.000000e+00,1.000000e+00,52.3
sym_w=10,10.0,10.0,0,0,3000,3.686675e-03,1.000613e+00,3.196459e-04,6.690638e-05,2.200167e-05,1.000000e+01,1.000000e+01,51.9
sym_w=10,10.0,10.0,0,1,3000,2.351340e-02,9.825930e-01,2.544762e-04,6.066286e-05,6.271913e-05,1.000000e+01,1.000000e+01,47.9
sym_w=10,10.0,10.0,0,2,3000,3.472838e-03,1.001297e+00,2.268030e-04,2.737437e-05,1.130538e-05,1.000000e+01,1.000000e+01,47.2
sym_w=100,100.0,100.0,0,0,3000,3.108010e-02,9.855817e-01,7.738893e-03,6.327049e-05,9.591830e-06,1.000000e+02,1.000000e+02,47.4
sym_w=100,100.0,100.0,0,1,3000,1.616325e-02,9.910468e-01,2.966582e-03,6.655454e-05,1.996224e-05,1.000000e+02,1.000000e+02,47.5
sym_w=100,100.0,100.0,0,2,3000,3.831692e-02,9.811507e-01,8.298582e-03,6.751124e-05,4.911168e-06,1.000000e+02,1.000000e+02,47.5
ic_only_w=0.1,0.1,1.0,0,0,3000,3.656964e-02,1.002253e+00,2.336559e-04,3.208839e-03,3.597862e-04,1.000000e-01,1.000000e+00,55.2
ic_only_w=0.1,0.1,1.0,0,1,3000,2.647359e-02,9.984716e-01,4.658027e-05,2.528677e-03,1.025518e-05,1.000000e-01,1.000000e+00,50.1
ic_only_w=0.1,0.1,1.0,0,2,3000,2.960989e-02,1.001120e+00,7.640477e-05,3.618303e-03,2.142889e-05,1.000000e-01,1.000000e+00,48.2
bc_only_w=0.1,1.0,0.1,0,0,3000,1.128220e-02,1.001580e+00,4.513677e-05,1.013077e-04,1.399430e-04,1.000000e+00,1.000000e-01,48.9
bc_only_w=0.1,1.0,0.1,0,1,3000,2.282864e-02,9.975302e-01,6.181902e-04,2.131420e-04,5.117524e-04,1.000000e+00,1.000000e-01,49.0
bc_only_w=0.1,1.0,0.1,0,2,3000,6.390582e-03,9.994711e-01,2.677403e-05,9.324251e-05,7.301310e-05,1.000000e+00,1.000000e-01,49.4
ic_only_w=10,10.0,1.0,0,0,3000,1.263755e-01,1.077910e+00,4.768090e-04,5.554811e-03,6.430805e-03,1.000000e+01,1.000000e+00,49.4
ic_only_w=10,10.0,1.0,0,1,3000,3.674172e-03,9.999862e-01,8.903562e-05,1.749600e-05,3.363441e-05,1.000000e+01,1.000000e+00,50.4
ic_only_w=10,10.0,1.0,0,2,3000,3.505477e-03,9.997219e-01,9.210970e-05,8.909668e-06,2.455951e-05,1.000000e+01,1.000000e+00,49.7
bc_only_w=10,1.0,10.0,0,0,3000,6.614410e-02,9.499819e-01,2.846789e-04,2.301187e-03,6.165849e-05,1.000000e+00,1.000000e+01,50.1
bc_only_w=10,1.0,10.0,0,1,3000,3.164851e-02,9.979420e-01,4.585877e-04,2.779373e-03,4.462294e-05,1.000000e+00,1.000000e+01,49.5
bc_only_w=10,1.0,10.0,0,2,3000,2.164319e-02,1.001096e+00,3.362465e-04,2.010915e-03,6.974579e-06,1.000000e+00,1.000000e+01,49.9
ic_only_w=100,100.0,1.0,0,0,3000,8.977293e-03,1.001715e+00,1.026603e-03,8.163084e-06,1.552820e-04,1.000000e+02,1.000000e+00,50.3
ic_only_w=100,100.0,1.0,0,1,3000,7.493260e-03,1.000209e+00,9.961210e-04,1.359005e-05,1.402194e-04,1.000000e+02,1.000000e+00,50.4
ic_only_w=100,100.0,1.0,0,2,3000,6.374140e-03,9.999893e-01,1.123528e-03,9.647210e-06,6.158595e-05,1.000000e+02,1.000000e+00,50.2
bc_only_w=100,1.0,100.0,0,0,3000,8.661760e-02,1.054219e+00,4.219944e-03,1.045240e-02,4.001842e-03,1.000000e+00,1.000000e+02,50.0
bc_only_w=100,1.0,100.0,0,1,3000,4.374885e-02,9.867637e-01,2.823266e-03,4.882770e-03,2.220253e-06,1.000000e+00,1.000000e+02,50.7
bc_only_w=100,1.0,100.0,0,2,3000,4.175420e-02,9.919043e-01,2.282094e-03,5.359152e-03,1.687290e-06,1.000000e+00,1.000000e+02,50.5
ic_starve_w=0.01,0.01,1.0,0,0,3000,9.166720e-02,9.550226e-01,5.401990e-05,1.603203e-02,6.950155e-05,1.000000e-02,1.000000e+00,50.2
ic_starve_w=0.01,0.01,1.0,0,1,3000,8.355624e-02,9.978558e-01,5.648777e-05,1.444911e-02,6.536049e-05,1.000000e-02,1.000000e+00,50.8
ic_starve_w=0.01,0.01,1.0,0,2,3000,7.483563e-02,9.862038e-01,5.980621e-05,1.283162e-02,6.452196e-05,1.000000e-02,1.000000e+00,50.9
bc_starve_w=0.01,1.0,0.01,0,0,3000,2.994046e-02,1.022577e+00,9.746826e-04,9.279046e-05,2.722901e-04,1.000000e+00,1.000000e-02,51.0
bc_starve_w=0.01,1.0,0.01,0,1,3000,1.161236e-02,1.000575e+00,2.458757e-05,6.503854e-05,3.298665e-04,1.000000e+00,1.000000e-02,50.6
bc_starve_w=0.01,1.0,0.01,0,2,3000,1.438877e-02,9.962364e-01,1.936992e-05,3.044419e-05,3.305839e-04,1.000000e+00,1.000000e-02,50.6
ic_starve_w=0.0001,0.0001,1.0,0,0,3000,9.994275e-01,6.212403e-04,2.032076e-08,6.007998e-01,9.216329e-09,1.000000e-04,1.000000e+00,51.1
ic_starve_w=0.0001,0.0001,1.0,0,1,3000,9.975586e-01,2.666170e-03,2.392881e-08,6.512780e-01,6.723580e-08,1.000000e-04,1.000000e+00,50.7
ic_starve_w=0.0001,0.0001,1.0,0,2,3000,9.997577e-01,2.571553e-04,1.701096e-08,6.343793e-01,8.129661e-09,1.000000e-04,1.000000e+00,52.5
bc_starve_w=0.0001,1.0,0.0001,0,0,3000,8.679531e-02,1.073875e+00,3.175400e-03,1.201750e-03,2.145828e-03,1.000000e+00,1.000000e-04,50.8
bc_starve_w=0.0001,1.0,0.0001,0,1,3000,3.422653e-02,1.014964e+00,3.370212e-05,1.566380e-04,1.734597e-03,1.000000e+00,1.000000e-04,50.7
bc_starve_w=0.0001,1.0,0.0001,0,2,3000,1.390224e-02,1.001823e+00,2.916108e-05,4.245717e-05,3.881960e-04,1.000000e+00,1.000000e-04,50.8
ic_starve_w=1e-06,1e-06,1.0,0,0,3000,9.997329e-01,2.965973e-04,2.611223e-08,6.011069e-01,1.971193e-09,1.000000e-06,1.000000e+00,49.4
ic_starve_w=1e-06,1e-06,1.0,0,1,3000,9.991135e-01,9.802956e-04,5.740526e-09,6.529111e-01,1.024717e-08,1.000000e-06,1.000000e+00,49.2
ic_starve_w=1e-06,1e-06,1.0,0,2,3000,1.000133e+00,1.600136e-04,1.313441e-08,6.348310e-01,1.007454e-09,1.000000e-06,1.000000e+00,49.4
bc_starve_w=1e-06,1.0,1e-06,0,0,3000,6.081450e-03,9.992865e-01,2.165913e-05,5.881044e-05,8.288173e-05,1.000000e+00,1.000000e-06,49.6
bc_starve_w=1e-06,1.0,1e-06,0,1,3000,3.881496e-02,1.014194e+00,3.196839e-05,1.547937e-04,2.715823e-03,1.000000e+00,1.000000e-06,49.5
bc_starve_w=1e-06,1.0,1e-06,0,2,3000,1.423869e-02,1.001226e+00,2.863365e-05,4.089226e-05,4.011829e-04,1.000000e+00,1.000000e-06,49.9
ic_starve_w=0,0.0,1.0,0,0,3000,9.997371e-01,2.921256e-04,2.670284e-08,6.011104e-01,1.959323e-09,0.000000e+00,1.000000e+00,50.0
ic_starve_w=0,0.0,1.0,0,1,3000,9.991049e-01,9.903594e-04,5.799146e-09,6.529073e-01,1.029139e-08,0.000000e+00,1.000000e+00,49.2
ic_starve_w=0,0.0,1.0,0,2,3000,1.000144e+00,1.711243e-04,1.276497e-08,6.348370e-01,1.011975e-09,0.000000e+00,1.000000e+00,49.8
bc_starve_w=0,1.0,0.0,0,0,3000,6.951985e-03,9.984283e-01,2.188247e-05,5.734622e-05,9.808351e-05,1.000000e+00,0.000000e+00,49.9
bc_starve_w=0,1.0,0.0,0,1,3000,3.920357e-02,1.014629e+00,3.226831e-05,1.495854e-04,2.665705e-03,1.000000e+00,0.000000e+00,49.4
bc_starve_w=0,1.0,0.0,0,2,3000,2.555238e-02,1.002361e+00,2.654741e-04,4.860113e-05,2.180094e-04,1.000000e+00,0.000000e+00,50.0
adaptive,1.0,1.0,1,0,3000,6.999008e-01,6.429386e-01,2.092064e+00,3.461265e-04,1.105811e-04,5.954690e+05,5.463876e+05,51.7
adaptive,1.0,1.0,1,1,3000,6.566850e-01,6.006758e-01,8.825256e-01,1.255640e-03,3.077089e-04,7.579810e+04,5.733024e+04,50.1
adaptive,1.0,1.0,1,2,3000,2.092257e-01,1.064960e+00,3.966889e-01,1.661397e-03,3.283262e-04,1.032287e+04,1.344208e+04,57.7
