arm,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,w_ic,w_bc,gnorm_r,gnorm_ic,gnorm_bc
sym_w=0.01,0,0,9.393933e-02,8.854827e-02,5.196859e-01,1.942101e-02,8.160450e-01,1.000000e-02,1.000000e-02,2.125204e+00,4.032662e+00,6.365021e-01
sym_w=0.01,0,250,3.557283e-03,6.983011e-06,2.434333e-01,1.115967e-01,5.509660e-01,1.000000e-02,1.000000e-02,5.573674e-03,1.841825e+00,1.946807e+00
sym_w=0.01,0,500,7.305693e-04,4.564558e-05,4.843514e-02,2.005723e-02,1.596323e-01,1.000000e-02,1.000000e-02,7.638186e-03,3.400802e-01,2.960399e-01
sym_w=0.01,0,750,5.994829e-04,2.616372e-05,4.190369e-02,1.542823e-02,1.384577e-01,1.000000e-02,1.000000e-02,2.275612e-03,3.407695e-01,3.285917e-01
sym_w=0.01,0,1000,5.084150e-04,3.268908e-05,3.579032e-02,1.178228e-02,1.241823e-01,1.000000e-02,1.000000e-02,1.704828e-03,2.929103e-01,2.651205e-01
sym_w=0.01,0,1250,4.291505e-04,3.380529e-05,3.035032e-02,9.184198e-03,1.112534e-01,1.000000e-02,1.000000e-02,1.564090e-03,2.305891e-01,1.875907e-01
sym_w=0.01,0,1500,3.676325e-04,2.567764e-05,2.680545e-02,7.390032e-03,1.024130e-01,1.000000e-02,1.000000e-02,1.840627e-03,1.972061e-01,1.528523e-01
sym_w=0.01,0,1750,3.917573e-04,1.025688e-04,2.236770e-02,6.551145e-03,9.993738e-02,1.000000e-02,1.000000e-02,5.038195e-02,3.303336e-01,5.255754e-01
sym_w=0.01,0,2000,8.095010e-04,5.820271e-04,1.769805e-02,5.049343e-03,1.054578e-01,1.000000e-02,1.000000e-02,1.239321e-01,6.152854e-01,6.037236e-01
sym_w=0.01,0,2250,1.524428e-04,1.747328e-05,1.177305e-02,1.723900e-03,6.212985e-02,1.000000e-02,1.000000e-02,8.554423e-04,2.662910e-01,2.510829e-01
sym_w=0.01,0,2500,1.409324e-04,1.452296e-05,1.108456e-02,1.556387e-03,6.035006e-02,1.000000e-02,1.000000e-02,8.111818e-04,2.650777e-01,2.508989e-01
sym_w=0.01,0,2750,1.407063e-04,1.626417e-05,1.111111e-02,1.333111e-03,6.083650e-02,1.000000e-02,1.000000e-02,1.283182e-02,2.183134e-01,2.073320e-01
sym_w=0.01,0,3000,1.575632e-04,5.754689e-05,8.470028e-03,1.531601e-03,5.701695e-02,1.000000e-02,1.000000e-02,4.653950e-02,3.361567e-01,3.408782e-01
sym_w=0.01,1,0,3.288743e-02,2.589028e-02,6.840348e-01,1.567944e-02,7.597483e-01,1.000000e-02,1.000000e-02,1.390463e+00,5.149986e+00,1.087909e+00
sym_w=0.01,1,250,3.528310e-03,2.609419e-05,2.357438e-01,1.144778e-01,5.096671e-01,1.000000e-02,1.000000e-02,6.505445e-03,2.048596e+00,2.226072e+00
sym_w=0.01,1,500,9.513781e-04,1.288161e-04,5.850447e-02,2.375175e-02,1.865870e-01,1.000000e-02,1.000000e-02,2.887789e-03,9.026681e-01,8.836670e-01
sym_w=0.01,1,750,5.736970e-04,3.021802e-05,3.804385e-02,1.630405e-02,1.337484e-01,1.000000e-02,1.000000e-02,5.028014e-03,3.145443e-01,3.382337e-01
sym_w=0.01,1,1000,4.623460e-04,3.486515e-05,3.145736e-02,1.129073e-02,1.188824e-01,1.000000e-02,1.000000e-02,2.821240e-02,2.863215e-01,2.697549e-01
sym_w=0.01,1,1250,3.576738e-04,2.699044e-05,2.513884e-02,7.929495e-03,1.022846e-01,1.000000e-02,1.000000e-02,1.734420e-03,1.990027e-01,1.920917e-01
sym_w=0.01,1,1500,2.971992e-04,2.511111e-05,2.142664e-02,5.782167e-03,9.245524e-02,1.000000e-02,1.000000e-02,1.109007e-02,1.703790e-01,1.488049e-01
sym_w=0.01,1,1750,2.132214e-04,2.663292e-05,1.546908e-02,3.189768e-03,7.500819e-02,1.000000e-02,1.000000e-02,1.138099e-03,1.680529e-01,1.441744e-01
sym_w=0.01,1,2000,1.847805e-04,2.335384e-05,1.355045e-02,2.592218e-03,6.940525e-02,1.000000e-02,1.000000e-02,1.050222e-03,1.967872e-01,1.766381e-01
sym_w=0.01,1,2250,1.614304e-04,1.843865e-05,1.221073e-02,2.088438e-03,6.565582e-02,1.000000e-02,1.000000e-02,1.186659e-03,2.185559e-01,2.020324e-01
