evals,seconds,rel_l2
0,0.028,0.7918591479005818
200,2.557,0.05134920732037443
400,4.928,0.03649467075751464
600,7.26,0.033454578999488366
800,10.157,0.02512536384705168
1000,12.646,0.028918006258053082
1200,15.173,0.025988818663523518
1400,17.848,0.015067870328615562
1600,20.408,0.012090421701548174
1800,22.939,0.011636254023405294
2000,25.55,0.069198238651486
2200,28.197,0.007395696503161337
2400,30.737,0.0068653766535385335
2600,33.239,0.0065128440129501464
2800,36.045,0.006240926751840161
3000,38.789,0.005930307403862954
3200,41.524,0.006288428743103562
3400,44.066,0.014050362156737734
3600,46.547,0.005193341220444084
3800,49.265,0.00490724794893297
4000,52.027,0.004682506038771382
4200,54.811,0.004426752118902918
4400,57.379,0.011714104389220548
4600,59.957,0.00898433558693686
4800,62.649,0.003812415880661104
5000,65.434,0.023237427737639742
5200,68.235,0.003450971077115714
5400,71.073,0.004267443924453778
5600,73.632,0.0031818642161445085
5800,76.23,0.008228051796663072
6000,79.071,0.0029497736682399106
6200,81.869,0.0032850067927763338
6400,84.53,0.0029035094468561696
6600,87.153,0.0027196524728532053
6800,89.776,0.06978064901496835
7000,92.644,0.00262084210325769
7200,95.464,0.0028615568185968608
7400,98.19,0.0026594643605863735
7600,100.817,0.002533176652720346
7800,103.409,0.002448091640443142
8000,106.281,0.0024154537028210905
