model,k,step,loss,rel_l2
plain,16,0,7.947456e-01,1.021721e+00
plain,16,200,5.100598e-01,9.986019e-01
plain,16,400,5.093974e-01,9.993040e-01
plain,16,600,5.101264e-01,1.007847e+00
plain,16,800,5.071857e-01,1.000247e+00
plain,16,1000,5.066620e-01,1.000459e+00
plain,16,1200,5.053980e-01,1.000643e+00
plain,16,1400,4.978182e-01,9.943070e-01
plain,16,1600,4.532195e-01,9.658466e-01
plain,16,1800,4.407302e-01,9.538618e-01
plain,16,2000,4.279563e-01,9.321551e-01
plain,16,2200,4.100112e-01,9.085341e-01
plain,16,2400,3.943610e-01,8.930851e-01
plain,16,2600,3.862268e-01,8.845228e-01
plain,16,2800,3.756790e-01,8.712719e-01
plain,16,3000,3.640877e-01,8.539726e-01
plain,16,3200,3.479603e-01,8.321784e-01
plain,16,3400,3.319275e-01,8.064156e-01
plain,16,3600,2.950153e-01,7.445309e-01
plain,16,3800,2.764941e-01,7.353260e-01
plain,16,4000,2.584259e-01,7.132180e-01
plain,16,4200,2.470907e-01,6.921002e-01
plain,16,4400,2.237855e-01,6.447276e-01
plain,16,4600,1.835455e-01,6.114189e-01
plain,16,4800,1.522421e-01,5.746929e-01
plain,16,5000,1.295393e-01,5.175353e-01
plain,16,5200,1.153511e-01,4.879840e-01
plain,16,5400,1.054844e-01,4.771388e-01
plain,16,5600,9.958626e-02,4.734562e-01
plain,16,5800,9.295596e-02,4.656113e-01
plain,16,6000,7.129095e-02,3.956427e-01
plain,16,6200,4.740288e-02,3.074839e-01
plain,16,6400,4.075588e-02,2.832653e-01
plain,16,6600,3.495736e-02,2.598089e-01
plain,16,6800,2.734822e-02,2.275637e-01
plain,16,7000,1.743427e-02,1.790911e-01
plain,16,7200,9.325059e-03,1.281422e-01
plain,16,7400,5.172050e-03,9.254153e-02
plain,16,7600,3.823456e-03,7.224488e-02
plain,16,7800,1.772486e-03,4.441631e-02
plain,16,8000,1.462606e-03,3.988842e-02
plain_3x,16,0,7.947456e-01,1.021721e+00
plain_3x,16,200,5.100598e-01,9.986019e-01
plain_3x,16,400,5.093974e-01,9.993040e-01
plain_3x,16,600,5.101264e-01,1.007847e+00
plain_3x,16,800,5.071857e-01,1.000247e+00
plain_3x,16,1000,5.066620e-01,1.000459e+00
plain_3x,16,1200,5.053980e-01,1.000643e+00
plain_3x,16,1400,4.978182e-01,9.943070e-01
plain_3x,16,1600,4.532195e-01,9.658466e-01
plain_3x,16,1800,4.407302e-01,9.538618e-01
plain_3x,16,2000,4.279563e-01,9.321551e-01
plain_3x,16,2200,4.100112e-01,9.085341e-01
plain_3x,16,2400,3.943610e-01,8.930851e-01
plain_3x,16,2600,3.862268e-01,8.845228e-01
plain_3x,16,2800,3.756790e-01,8.712719e-01
plain_3x,16,3000,3.640877e-01,8.539726e-01
plain_3x,16,3200,3.479603e-01,8.321784e-01
plain_3x,16,3400,3.319275e-01,8.064156e-01
plain_3x,16,3600,2.950153e-01,7.445309e-01
plain_3x,16,3800,2.764941e-01,7.353260e-01
plain_3x,16,4000,2.584259e-01,7.132180e-01
plain_3x,16,4200,2.470907e-01,6.921002e-01
plain_3x,16,4400,2.237855e-01,6.447276e-01
plain_3x,16,4600,1.835455e-01,6.114189e-01
plain_3x,16,4800,1.522421e-01,5.746929e-01
plain_3x,16,5000,1.295393e-01,5.175353e-01
plain_3x,16,5200,1.153511e-01,4.879840e-01
plain_3x,16,5400,1.054844e-01,4.771388e-01
plain_3x,16,5600,9.958626e-02,4.734562e-01
plain_3x,16,5800,9.295596e-02,4.656113e-01
plain_3x,16,6000,7.129095e-02,3.956427e-01
plain_3x,16,6200,4.740288e-02,3.074839e-01
plain_3x,16,6400,4.075588e-02,2.832653e-01
plain_3x,16,6600,3.495736e-02,2.598089e-01
plain_3x,16,6800,2.734822e-02,2.275637e-01
plain_3x,16,7000,1.743427e-02,1.790911e-01
plain_3x,16,7200,9.325059e-03,1.281422e-01
plain_3x,16,7400,5.172050e-03,9.254153e-02
plain_3x,16,7600,3.823456e-03,7.224488e-02
plain_3x,16,7800,1.772486e-03,4.441631e-02
plain_3x,16,8000,1.462606e-03,3.988842e-02
plain_3x,16,8200,9.982907e-04,2.634379e-02
plain_3x,16,8400,8.971638e-04,2.509123e-02
plain_3x,16,8600,1.068157e-03,3.089735e-02
plain_3x,16,8800,6.869396e-04,1.855300e-02
plain_3x,16,9000,7.277642e-04,2.387814e-02
plain_3x,16,9200,5.760746e-04,1.525957e-02
plain_3x,16,9400,5.784277e-04,1.760372e-02
plain_3x,16,9600,2.108611e-03,5.685673e-02
plain_3x,16,9800,4.919978e-04,1.394114e-02
plain_3x,16,10000,5.078074e-04,1.679759e-02
plain_3x,16,10200,2.097717e-03,4.630674e-02
plain_3x,16,10400,4.320613e-04,1.280452e-02
plain_3x,16,10600,4.500663e-04,1.549262e-02
plain_3x,16,10800,1.462129e-03,6.924506e-02
plain_3x,16,11000,3.912637e-04,1.221172e-02
plain_3x,16,11200,4.163624e-04,1.530771e-02
plain_3x,16,11400,1.303276e-03,7.010156e-02
plain_3x,16,11600,3.520986e-04,1.131364e-02
plain_3x,16,11800,3.659194e-04,1.321428e-02
plain_3x,16,12000,9.765507e-04,2.729677e-02
plain_3x,16,12200,3.282664e-04,1.104648e-02
plain_3x,16,12400,3.756566e-04,1.546420e-02
plain_3x,16,12600,3.010454e-04,1.002246e-02
plain_3x,16,12800,3.199987e-04,1.205206e-02
plain_3x,16,13000,5.528731e-04,2.593179e-02
plain_3x,16,13200,2.806551e-04,9.915374e-03
plain_3x,16,13400,2.978175e-04,1.165166e-02
plain_3x,16,13600,1.092179e-03,2.046256e-02
plain_3x,16,13800,2.631839e-04,9.745432e-03
plain_3x,16,14000,2.969962e-04,1.276167e-02
plain_3x,16,14200,2.487483e-04,9.278887e-03
plain_3x,16,14400,2.575901e-04,1.044941e-02
plain_3x,16,14600,3.432275e-04,1.577583e-02
plain_3x,16,14800,2.955933e-04,1.167775e-02
plain_3x,16,15000,2.330988e-04,9.547868e-03
plain_3x,16,15200,2.449901e-04,1.097544e-02
plain_3x,16,15400,5.832464e-04,3.388677e-02
plain_3x,16,15600,2.144156e-04,8.973846e-03
plain_3x,16,15800,2.177248e-04,9.650007e-03
plain_3x,16,16000,2.299422e-04,1.113250e-02
plain_3x,16,16200,3.044952e-04,1.317418e-02
plain_3x,16,16400,3.253911e-04,1.552292e-02
plain_3x,16,16600,1.107574e-03,5.517289e-02
plain_3x,16,16800,1.876792e-04,9.185238e-03
plain_3x,16,17000,1.865457e-04,8.716932e-03
plain_3x,16,17200,1.915059e-04,9.320850e-03
plain_3x,16,17400,2.267428e-04,1.308374e-02
plain_3x,16,17600,5.478944e-04,2.781886e-02
plain_3x,16,17800,2.021648e-02,6.996630e-02
plain_3x,16,18000,1.861370e-04,8.468051e-03
plain_3x,16,18200,1.644513e-04,8.358792e-03
plain_3x,16,18400,1.626557e-04,8.389550e-03
plain_3x,16,18600,1.601195e-04,8.351230e-03
plain_3x,16,18800,1.579889e-04,8.354910e-03
plain_3x,16,19000,1.540551e-04,8.268146e-03
plain_3x,16,19200,1.517389e-04,8.141318e-03
plain_3x,16,19400,1.496237e-04,8.212322e-03
plain_3x,16,19600,1.481287e-04,8.230931e-03
plain_3x,16,19800,1.460854e-04,8.202929e-03
plain_3x,16,20000,1.434729e-04,8.145122e-03
plain_3x,16,20200,1.436152e-04,8.255301e-03
plain_3x,16,20400,1.421621e-04,8.232925e-03
plain_3x,16,20600,1.384532e-04,8.181836e-03
plain_3x,16,20800,1.352235e-04,7.973007e-03
plain_3x,16,21000,1.353630e-04,8.901624e-03
plain_3x,16,21200,9.430592e-04,3.291154e-02
plain_3x,16,21400,1.653992e-04,9.715656e-03
plain_3x,16,21600,1.250502e-04,7.802419e-03
plain_3x,16,21800,1.861703e-04,9.941033e-03
plain_3x,16,22000,6.839008e-04,2.478977e-02
plain_3x,16,22200,1.212415e-04,7.519901e-03
plain_3x,16,22400,5.054361e-04,5.190370e-02
plain_3x,16,22600,1.197924e-04,8.965826e-03
plain_3x,16,22800,1.546145e-03,2.744704e-02
plain_3x,16,23000,5.596752e-04,2.042170e-02
plain_3x,16,23200,2.297881e-03,2.604514e-02
plain_3x,16,23400,5.371416e-03,6.067941e-02
plain_3x,16,23600,1.084476e-04,8.296562e-03
plain_3x,16,23800,1.204586e-04,9.709188e-03
plain_3x,16,24000,1.460297e-04,9.703523e-03
fourier,16,0,1.211219e+01,1.096397e+00
fourier,16,200,2.047304e-01,7.501840e-01
fourier,16,400,2.490926e-02,2.243839e-01
fourier,16,600,5.421842e-03,7.639003e-02
fourier,16,800,2.461823e-03,5.009008e-02
fourier,16,1000,4.448084e-03,4.133480e-02
fourier,16,1200,1.614367e-03,3.706264e-02
fourier,16,1400,7.042084e-04,3.130604e-02
fourier,16,1600,5.420988e-04,2.907556e-02
fourier,16,1800,4.898684e-03,3.110760e-02
fourier,16,2000,4.402787e-04,2.729886e-02
fourier,16,2200,3.003291e-04,2.490040e-02
fourier,16,2400,2.588968e-04,2.401247e-02
fourier,16,2600,2.231753e-04,2.319471e-02
fourier,16,2800,1.957155e-04,2.244102e-02
fourier,16,3000,6.501130e-04,2.470993e-02
fourier,16,3200,5.747721e-03,2.690442e-02
fourier,16,3400,8.753650e-03,2.934990e-02
fourier,16,3600,1.270255e-04,1.998817e-02
fourier,16,3800,1.299707e-04,1.996860e-02
fourier,16,4000,5.692242e-04,2.039994e-02
fourier,16,4200,3.797710e-04,1.984903e-02
fourier,16,4400,1.036455e-04,1.854366e-02
fourier,16,4600,1.013295e-04,1.947290e-02
fourier,16,4800,2.177193e-04,1.849172e-02
fourier,16,5000,4.644987e-03,3.026084e-02
fourier,16,5200,1.812664e-03,2.111436e-02
fourier,16,5400,1.169981e-04,1.663974e-02
fourier,16,5600,7.500414e-05,1.648557e-02
fourier,16,5800,6.636004e-05,1.630678e-02
fourier,16,6000,2.965857e-04,1.661801e-02
fourier,16,6200,1.147647e-04,1.583799e-02
fourier,16,6400,5.769667e-05,1.548462e-02
fourier,16,6600,9.026570e-05,1.506893e-02
fourier,16,6800,6.118805e-05,1.498874e-02
fourier,16,7000,8.096371e-04,1.735632e-02
fourier,16,7200,6.791959e-05,1.448558e-02
