model,step,k,coeff
plain,0,1,0.001964
plain,0,2,-0.000167
plain,0,4,-0.000020
plain,0,8,-0.000003
plain,0,16,-0.000000
plain,0,32,-0.000000
plain,100,1,0.047795
plain,100,2,0.023525
plain,100,4,0.002689
plain,100,8,0.000330
plain,100,16,0.000041
plain,100,32,0.000005
plain,200,1,0.867969
plain,200,2,0.031452
plain,200,4,-0.000778
plain,200,8,-0.000102
plain,200,16,-0.000012
plain,200,32,-0.000001
plain,300,1,0.956336
plain,300,2,-0.102274
plain,300,4,-0.010106
plain,300,8,-0.001094
plain,300,16,-0.000134
plain,300,32,-0.000017
plain,400,1,0.888355
plain,400,2,-0.491416
plain,400,4,0.021426
plain,400,8,-0.000687
plain,400,16,-0.000106
plain,400,32,-0.000013
plain,500,1,0.693169
plain,500,2,-0.186849
plain,500,4,0.462509
plain,500,8,0.202558
plain,500,16,0.020801
plain,500,32,0.000275
plain,600,1,0.806945
plain,600,2,-0.234306
plain,600,4,0.399607
plain,600,8,0.420130
plain,600,16,0.180346
plain,600,32,0.023010
plain,700,1,0.870100
plain,700,2,-0.230212
plain,700,4,0.406427
plain,700,8,0.405344
plain,700,16,0.195944
plain,700,32,0.037018
plain,800,1,0.908482
plain,800,2,-0.223314
plain,800,4,0.414074
plain,800,8,0.396026
plain,800,16,0.198799
plain,800,32,0.048784
plain,900,1,0.923696
plain,900,2,-0.209496
plain,900,4,0.409725
plain,900,8,0.393427
plain,900,16,0.197221
plain,900,32,0.057083
plain,1000,1,0.928930
plain,1000,2,-0.233266
plain,1000,4,0.406175
plain,1000,8,0.397313
plain,1000,16,0.194648
plain,1000,32,0.062367
plain,1100,1,0.934473
plain,1100,2,-0.244456
plain,1100,4,0.397087
plain,1100,8,0.402633
plain,1100,16,0.190540
plain,1100,32,0.067256
plain,1200,1,0.894846
plain,1200,2,-0.276134
plain,1200,4,0.365263
plain,1200,8,0.427936
plain,1200,16,0.202374
plain,1200,32,0.072106
plain,1300,1,0.747234
plain,1300,2,-0.334864
plain,1300,4,0.314758
plain,1300,8,0.504464
plain,1300,16,0.274196
plain,1300,32,0.079038
plain,1400,1,0.884252
plain,1400,2,-0.292192
plain,1400,4,0.353936
plain,1400,8,0.551735
plain,1400,16,0.383242
plain,1400,32,0.132899
plain,1500,1,1.171345
plain,1500,2,-0.181449
plain,1500,4,0.401642
plain,1500,8,0.633186
plain,1500,16,0.492634
plain,1500,32,0.189325
plain,1600,1,1.016474
plain,1600,2,-0.118795
plain,1600,4,0.437105
plain,1600,8,0.729488
plain,1600,16,0.637054
plain,1600,32,0.237969
plain,1700,1,0.953477
plain,1700,2,-0.102060
plain,1700,4,0.453008
plain,1700,8,0.727125
plain,1700,16,0.700245
plain,1700,32,0.331714
plain,1800,1,0.966092
plain,1800,2,-0.089673
plain,1800,4,0.451795
plain,1800,8,0.719821
plain,1800,16,0.727400
plain,1800,32,0.415738
plain,1900,1,0.961329
