ic,cfl,nx,nt,dx,dt,rel_l2,seconds,energy_ratio,energy_drift
sine,1.0,26,50,0.04,0.04,3.9738565796891566e-16,0.0005192919634282589,0.9947472814836568,5.427989024632058e-16
sine,1.0,51,100,0.02,0.02,7.658401710555832e-16,0.0006708749569952488,0.9986847452380956,1.261537285696701e-15
sine,1.0,101,200,0.01,0.01,5.780085481030481e-16,0.0013307919725775719,0.9996710564765081,9.002090056181647e-16
sine,1.0,201,400,0.005,0.005,7.765801442873286e-16,0.002974333008751273,0.9999177560024182,1.6199764311904489e-15
sine,1.0,401,800,0.0025,0.0025,1.2701885994783536e-15,0.007898957934230566,0.9999794384932763,2.6997941749240127e-15
sine,1.0,801,1600,0.00125,0.00125,1.586998724472564e-15,0.022033666959032416,0.999994859591612,4.319604065469662e-15
sine,0.9,26,56,0.04,0.03571428571428571,0.00046714338273328966,0.00045070797204971313,0.9955458232399776,9.039391926403092e-16
sine,0.9,51,112,0.02,0.017857142857142856,0.0001176893461753083,0.0006982081104069948,0.9988847751958854,1.9820187494027045e-15
sine,0.9,101,223,0.01,0.008968609865470852,2.8500469130539955e-05,0.0014302078634500504,0.9997193208632356,4.320794617844165e-15
sine,0.9,201,445,0.005,0.0044943820224719105,7.008431071522137e-06,0.0032087077852338552,0.9999296003489139,7.19980996567729e-15
sine,0.9,401,889,0.0025,0.0022497187851518562,1.7374277475365048e-06,0.00774024985730648,0.999982371624147,9.719230521365188e-15
sine,0.9,801,1778,0.00125,0.0011248593925759281,4.3459919125597835e-07,0.020534290932118893,0.9999955928799824,4.301602560865526e-14
sine,0.5,26,100,0.04,0.02,0.0017395825488692605,0.0007249170448631048,0.997700379299486,1.4431793855030217e-15
sine,0.5,51,200,0.02,0.01,0.00043684143997832655,0.0012547080405056477,0.9994244786669048,6.663190177043592e-15
sine,0.5,101,400,0.01,0.005,0.00010946903350694261,0.002650707960128784,0.9998560811209406,3.4201611990106782e-15
sine,0.5,201,800,0.005,0.0025,2.740056866942324e-05,0.005663959076628089,0.9999640178705617,1.5839036745719565e-14
sine,0.5,401,1600,0.0025,0.00125,6.854367305134279e-06,0.013289832975715399,0.9999910043170276,3.221717119497433e-14
sine,0.5,801,3200,0.00125,0.000625,1.7141238675704997e-06,0.04765387484803796,0.9999977510698431,6.80335673125571e-14
sine,0.25,26,200,0.04,0.01,0.0021846912684083328,0.0012831250205636024,0.9984386537534431,6.30924112381914e-15
sine,0.25,51,400,0.02,0.005,0.0005473755385979259,0.002451542066410184,0.999609412024107,7.202116161541502e-15
sine,0.25,101,800,0.01,0.0025,0.00013700474461115358,0.005044708959758282,0.9999023372820488,1.4940013018030793e-14
sine,0.25,201,1600,0.005,0.00125,3.427195534037579e-05,0.011822249973192811,0.9999755833375984,3.095775922189726e-14
sine,0.25,401,3200,0.0025,0.000625,8.570626430297467e-06,0.04795441683381796,0.999993895772965,3.437688215427976e-14
sine,0.25,801,6400,0.00125,0.0003125,2.142988912614166e-06,0.07870183303020895,0.9999984739394012,7.775259215209979e-14
pluck,1.0,26,50,0.04,0.04,6.967719062327166e-16,0.00041820784099400043,0.9285714285714286,8.034598627441133e-16
pluck,1.0,51,100,0.02,0.02,8.649753923936787e-16,0.0006523749325424433,0.9761904761904755,7.642666987078157e-16
pluck,1.0,101,200,0.01,0.01,8.134277879998696e-16,0.0012574580032378435,0.9880952380952367,2.4539406651281087e-15
