ic,t_end,nx,rel_l2_fixed_norm,order
sine,0.7,101,5.48747711244087e-05,
sine,0.7,201,1.3718280610837633e-05,2.00
sine,0.7,401,3.429544419597746e-06,2.00
sine,0.7,801,8.573845230178484e-07,2.00
sine,1.0,101,4.694428377545981e-09,
sine,1.0,201,2.933912952319089e-10,4.00
sine,1.0,401,1.834775050039263e-11,4.00
sine,1.0,801,1.1240035751597748e-12,4.03
sine,2.0,101,1.8777711212115504e-08,
sine,2.0,201,1.1735796431095757e-09,4.00
sine,2.0,401,7.335309498443501e-11,4.00
sine,2.0,801,4.553166374529859e-12,4.01
pluck,0.7,101,0.00537532426802033,
pluck,0.7,201,0.0026364369301078213,1.03
pluck,0.7,401,0.0012898662602632053,1.03
pluck,0.7,801,0.0006368581574179527,1.02
pluck,1.0,101,0.006545150420278004,
pluck,1.0,201,0.0032017146684714,1.03
pluck,1.0,401,0.00155948971429976,1.04
pluck,1.0,801,0.0007661514751510447,1.03
pluck,2.0,101,0.009099569090721448,
pluck,2.0,201,0.0044090206905053175,1.05
pluck,2.0,401,0.0021658713094373726,1.03
pluck,2.0,801,0.0010727618656684477,1.01
