ic,seed,step,loss,loss_r,loss_ic,loss_vel,loss_bc,rel_l2,energy_ratio,train_seconds
sine,0,0,5.711275e-01,2.543957e-03,3.982957e-01,9.314921e-02,7.713864e-02,1.225734e+00,0.031744,0.1079
sine,0,250,4.599104e-02,2.900231e-03,1.084743e-02,3.459160e-03,2.878423e-02,7.501147e-01,0.405795,12.9120
sine,0,500,2.263549e-02,7.635099e-04,1.391760e-03,2.261916e-04,2.025403e-02,5.628672e-01,0.587164,26.1794
sine,0,750,1.947299e-02,9.202112e-04,1.119101e-03,5.826059e-05,1.737542e-02,5.041036e-01,0.643305,38.7110
sine,0,1000,2.034812e-02,1.170120e-03,1.070131e-03,2.274934e-03,1.583294e-02,4.794121e-01,0.704543,51.4028
sine,0,1250,1.487297e-02,8.564169e-04,7.500307e-04,8.097468e-05,1.318555e-02,4.112051e-01,0.705974,64.4002
sine,0,1500,1.042416e-02,6.106692e-04,4.671165e-04,4.947300e-05,9.296898e-03,3.339158e-01,0.745647,76.9392
sine,0,1750,1.283608e-02,4.094125e-03,1.138895e-03,8.837880e-04,6.719274e-03,2.979698e-01,0.723494,89.5940
sine,0,2000,4.385631e-03,1.259841e-03,1.003498e-04,4.684829e-04,2.556957e-03,1.680434e-01,0.874387,102.4560
sine,0,2250,2.082388e-03,1.068274e-03,6.394414e-05,1.611292e-04,7.890404e-04,8.026243e-02,0.927877,115.2932
sine,0,2500,3.265315e-03,2.809999e-03,9.734243e-06,6.453980e-05,3.810424e-04,5.829210e-02,0.949252,128.5913
sine,0,2750,1.835453e-03,1.042444e-03,4.537134e-05,1.338495e-04,6.137881e-04,5.448178e-02,0.973223,141.6960
sine,0,3000,2.454955e-04,1.222683e-04,1.813311e-06,4.301780e-06,1.171121e-04,2.770507e-02,0.979170,154.6331
sine,0,3250,1.838701e-03,6.258605e-04,5.984053e-05,6.159032e-04,5.370970e-04,5.596552e-02,0.946861,168.2811
sine,0,3500,1.580508e-03,1.389920e-03,4.071330e-05,3.567626e-05,1.141975e-04,3.531035e-02,0.959345,181.6878
sine,0,3750,7.268514e-04,3.708416e-04,3.322334e-05,2.173696e-04,1.054169e-04,2.896502e-02,0.968680,194.6972
sine,0,4000,3.431159e-03,2.724961e-03,2.729387e-05,5.125863e-04,1.663179e-04,3.164436e-02,0.976306,207.6576
sine,0,4250,7.320371e-04,4.881259e-04,3.334711e-05,8.239783e-05,1.281663e-04,3.824582e-02,0.961865,220.6420
sine,0,4500,2.449207e-03,1.368725e-03,8.422088e-05,7.995015e-04,1.967599e-04,5.172686e-02,0.974780,233.5495
sine,0,4750,3.321929e-04,2.635276e-04,2.965971e-05,1.119522e-05,2.781039e-05,1.575688e-02,0.987160,246.9304
sine,0,5000,6.157446e-03,5.976522e-03,4.553750e-05,2.067649e-05,1.147106e-04,2.403246e-02,0.991063,260.0800
sine,1,0,6.106439e-01,2.516581e-03,5.369501e-01,2.970519e-02,4.147207e-02,1.408770e+00,0.034707,0.0561
sine,1,250,4.674751e-02,4.054615e-03,1.252537e-02,1.957711e-03,2.820981e-02,7.628835e-01,0.374400,13.3037
sine,1,500,2.570882e-02,8.710489e-04,2.694727e-03,6.824783e-04,2.146056e-02,6.122340e-01,0.522115,26.7573
sine,1,750,2.034061e-02,6.450677e-04,1.337416e-03,3.571405e-04,1.800098e-02,5.369372e-01,0.590057,40.2089
sine,1,1000,1.818057e-02,6.614766e-04,1.297934e-03,2.258188e-03,1.396297e-02,4.526683e-01,0.662053,53.4116
sine,1,1250,1.222013e-02,1.672795e-03,9.920524e-04,9.538638e-05,9.459895e-03,3.666395e-01,0.704429,66.3530
sine,1,1500,9.132437e-03,2.993611e-03,5.640397e-04,2.437962e-04,5.330991e-03,2.676419e-01,0.805025,79.3897
sine,1,1750,1.154084e-02,5.374927e-03,3.797662e-04,2.310498e-03,3.475650e-03,2.051249e-01,0.880096,92.3405
sine,1,2000,5.184003e-03,3.041828e-03,3.092841e-04,1.071830e-04,1.725709e-03,1.492136e-01,0.881095,106.1651
sine,1,2250,1.530291e-03,2.225187e-04,7.293905e-05,7.518526e-05,1.159648e-03,1.105377e-01,0.910373,119.0557
sine,1,2500,2.316668e-03,4.147640e-04,6.440622e-05,8.330338e-04,1.004464e-03,8.099100e-02,0.922342,132.3165
sine,1,2750,1.184024e-03,6.097707e-04,2.639017e-05,1.168619e-04,4.310007e-04,5.945864e-02,0.961953,145.5179
sine,1,3000,6.203521e-04,2.150651e-04,2.269938e-05,7.188910e-05,3.106985e-04,4.653935e-02,0.966822,158.6342
sine,1,3250,4.461966e-04,1.895512e-04,3.783000e-05,3.090228e-05,1.879131e-04,3.507187e-02,0.966200,171.6878
sine,1,3500,1.748682e-03,1.186924e-03,1.880033e-04,1.822771e-04,1.914770e-04,5.985909e-02,0.971781,184.5618
sine,1,3750,2.090449e-03,1.671192e-03,8.745466e-05,5.877751e-05,2.730241e-04,7.393232e-02,0.924873,197.9445
sine,1,4000,3.778912e-04,2.255814e-04,1.351794e-05,3.363264e-05,1.051592e-04,2.228624e-02,0.983376,210.7595
sine,1,4250,5.813579e-04,2.768492e-04,6.051166e-05,9.518322e-05,1.488138e-04,3.019434e-02,0.957614,223.7902
sine,1,4500,3.390524e-04,1.043852e-04,4.204195e-05,6.590164e-05,1.267236e-04,3.008522e-02,0.974632,236.7194
